deal_id,crm_account_key,account_name,record_type,correction_reason,close_date,contract_start_date,industry,employee_band,region,plan,sales_rep,acquisition_channel,gross_contract_value_eur,contract_value_eur,discount_pct,closed_mrr_eur,sales_fit_score,beta_feature_promised,beta_feature_category
DEAL-000009-00,ACC-000009,PossiblePage Account 0009,Original,,2025-10-26,2025-11-21,Financial Services,201-1000,Netherlands,Growth,Sara Villa,Webinar,25398.14,23581.68,0.0715,1965.14,76.8,FALSE,
DEAL-000010-00,acc-000010,PossiblePage Account 0010,Original,,2025-05-14,2025-05-17,Software,11-50,Spain,Starter,Giulia Neri,Outbound,3863.88,3367.68,0.1284,280.64,89.6,TRUE,Beta checkout
DEAL-000011-00,ACC-000011,PossiblePage Account 0011,Original,,2025-10-31,2025-11-11,Healthcare,1-10,United Kingdom,Starter,Elena Costa,Inbound Demo,3020.09,2699.51,0.1062,224.96,80.3,FALSE,
DEAL-000012-00,ACC 000012,PossiblePage Account 0012,Original,,2025-11-05,2025-12-03,Software,201-1000,Italy,Growth,Nina Poli,Outbound,17151.97,14564.12,0.1509,1213.68,83.1,TRUE,Advanced integrations
DEAL-000013-00,ACC-000013,PossiblePage Account 0013,Original,,2025-12-14,2025-12-16,Software,1000+,United Kingdom,Growth,Arianna Galli,Outbound,16284.55,13176.7,0.1908,1098.06,25.3,FALSE,
DEAL-000014-00,ACC-000014,PossiblePage Account 0014,Original,,2025-03-19,2025-04-01,Healthcare,11-50,Spain,Starter,Luca Serra,Partner,3624.85,2959.37,0.1836,246.61,49.8,FALSE,
DEAL-000015-00,ACC-000015,PossiblePage Account 0015,Original,,2025-07-21,2025-08-16,Real Estate,1-10,Italy,Starter,Elena Costa,Referral,6831.92,6740.93,0.0133,561.74,95.1,FALSE,
DEAL-000016-00,acc-000016,PossiblePage Account 0016,Original,,2025-03-10,2025-03-13,Education,11-50,Germany,Enterprise,Marta Fabbri,Partner,109682.08,95440.98,0.1298,7953.41,53.6,FALSE,
DEAL-000017-00,acc-000017,PossiblePage Account 0017,Original,,2025-04-11,2025-04-30,Financial Services,51-200,France,Scale,Marco Riva,Webinar,26082.17,21286.78,0.1839,1773.9,38.7,FALSE,
DEAL-000018-00,ACC-000018,PossiblePage Account 0018,Original,,2025-05-22,2025-06-07,Software,51-200,Spain,Growth,Luca Serra,Webinar,20144.09,19585.74,0.0277,1632.15,78.6,FALSE,
DEAL-000019-00,ACC 000019,PossiblePage Account 0019,Original,,2025-01-10,2025-01-15,Professional Services,51-200,Spain,Enterprise,Marta Fabbri,Outbound,85448.97,62251.41,0.2715,5187.62,49.1,FALSE,
DEAL-000020-00,ACC-000020,PossiblePage Account 0020,Original,,2025-02-05,2025-02-27,Professional Services,11-50,Nordics,Growth,Elena Costa,Inbound Demo,23256.84,20578.41,0.1152,1714.87,62.8,FALSE,
DEAL-000021-00,ACC-000021,PossiblePage Account 0021,Original,,2025-06-06,2025-06-12,Manufacturing,51-200,Italy,Scale,Nina Poli,Paid Search,64467.68,57786.98,0.1036,4815.58,67.2,FALSE,
DEAL-000022-00,ACC-000022,PossiblePage Account 0022,Original,,2025-08-17,2025-09-16,Retail,1-10,Italy,Scale,Sara Villa,Paid Search,48120.91,42930.31,0.1079,3577.53,73.9,FALSE,
DEAL-000023-00,ACC-000023,PossiblePage Account 0023,Original,,2025-06-12,2025-06-15,Hospitality,11-50,Italy,Scale,Giulia Neri,Inbound Demo,62198.93,57528.73,0.0751,4794.06,94.2,FALSE,
DEAL-000024-00,acc-000024,PossiblePage Account 0024,Original,,2025-04-02,2025-04-10,Retail,11-50,Italy,Scale,Giulia Neri,Paid Search,61639.08,55016.16,0.1074,4584.68,66.9,FALSE,
DEAL-000025-00, ACC-000025 ,PossiblePage Account 0025,Original,,2025-06-17,2025-07-03,Hospitality,11-50,Italy,Scale,Arianna Galli,Inbound Demo,35244.89,32220.1,0.0858,2685.01,78.9,FALSE,
DEAL-000026-00, ACC-000026 ,PossiblePage Account 0026,Original,,2025-09-28,2025-10-17,Software,201-1000,Italy,Scale,Nina Poli,Webinar,66808.27,60678.65,0.0917,5056.55,70.5,FALSE,
DEAL-000027-00,ACC-000027,PossiblePage Account 0027,Original,,2025-08-01,2025-08-25,Software,1-10,France,Starter,Marta Fabbri,Outbound,7138.0,5932.08,0.1689,494.34,66.3,TRUE,CRM sync
DEAL-000028-00,ACC-000028,PossiblePage Account 0028,Original,,2025-10-23,2025-11-22,Retail,201-1000,Italy,Scale,Pietro Mancini,Outbound,69616.68,64187.57,0.078,5348.96,85.8,FALSE,
DEAL-000029-00,ACC 000029,PossiblePage Account 0029,Original,,2025-08-17,2025-08-21,Software,11-50,Italy,Starter,Marta Fabbri,Paid Search,8387.0,7813.32,0.0684,651.11,96.7,FALSE,
DEAL-000030-00,ACC-000030,PossiblePage Account 0030,Original,,2025-10-30,2025-11-12,Professional Services,11-50,Nordics,Growth,Marco Riva,Inbound Demo,19398.58,18140.19,0.0649,1511.68,84.7,FALSE,
DEAL-000031-00,ACC-000031,PossiblePage Account 0031,Original,,2025-08-13,2025-08-13,Financial Services,1-10,Italy,Scale,Pietro Mancini,Paid Search,35076.27,28888.33,0.1764,2407.36,70.8,FALSE,
DEAL-000032-00,ACC-000032,PossiblePage Account 0032,Original,,2025-09-04,2025-09-15,Software,1-10,Nordics,Growth,Luca Serra,Partner,16921.91,15549.01,0.0811,1295.75,38.8,FALSE,
DEAL-000033-00, ACC-000033 ,PossiblePage Account 0033,Original,,2025-09-01,2025-09-13,Software,51-200,Netherlands,Starter,Marco Riva,Outbound,7689.62,5946.22,0.2267,495.52,41.1,FALSE,
DEAL-000034-00,ACC-000034,PossiblePage Account 0034,Original,,2025-11-09,2025-11-13,Manufacturing,51-200,United Kingdom,Growth,Marco Riva,Webinar,16915.61,15577.94,0.0791,1298.16,88.3,FALSE,
DEAL-000035-00, ACC-000035 ,PossiblePage Account 0035,Original,,2025-05-24,2025-06-07,Retail,1000+,Spain,Starter,Nina Poli,Outbound,2411.72,2279.0,0.055,189.92,68.1,FALSE,
DEAL-000036-00,ACC 000036,PossiblePage Account 0036,Original,,2025-06-22,2025-07-01,Healthcare,51-200,United Kingdom,Scale,Nina Poli,Referral,46947.89,38696.83,0.1757,3224.74,61.9,TRUE,Beta checkout
DEAL-000037-00,ACC-000037,PossiblePage Account 0037,Original,,2025-06-08,2025-06-26,Professional Services,1-10,Italy,Scale,Marta Fabbri,Outbound,49518.14,42277.09,0.1462,3523.09,57.9,TRUE,CRM sync
DEAL-000038-00,ACC-000038,PossiblePage Account 0038,Original,,2025-08-11,2025-09-05,Manufacturing,201-1000,France,Scale,Marco Riva,Webinar,44375.46,36241.01,0.1833,3020.08,40.2,TRUE,Beta checkout
DEAL-000039-00,acc-000039,PossiblePage Account 0039,Original,,2025-10-26,2025-11-11,Professional Services,51-200,Italy,Starter,Sara Villa,Paid Search,8342.48,6879.97,0.1753,573.33,29.1,FALSE,
DEAL-000040-00,ACC-000040,PossiblePage Account 0040,Original,,2025-10-10,2025-11-09,Nonprofit,11-50,Italy,Growth,Riccardo Leone,Webinar,14378.53,12945.31,0.0997,1078.78,39.4,FALSE,
DEAL-000041-00,ACC-000041,PossiblePage Account 0041,Original,,2025-07-27,2025-08-16,Financial Services,201-1000,United Kingdom,Growth,Giulia Neri,Partner,21795.49,18483.02,0.152,1540.25,37.5,FALSE,
DEAL-000042-00,ACC-000042,PossiblePage Account 0042,Original,,2025-04-03,2025-04-04,Financial Services,51-200,Italy,Scale,Elena Costa,Outbound,32722.25,29342.43,0.1033,2445.2,77.5,FALSE,
DEAL-000043-00, ACC-000043 ,PossiblePage Account 0043,Original,,2025-01-29,2025-02-15,Healthcare,201-1000,Italy,Growth,Arianna Galli,Inbound Demo,24650.86,21475.04,0.1288,1789.59,41.3,FALSE,
DEAL-000044-00,ACC 000044,PossiblePage Account 0044,Original,,2025-04-04,2025-04-15,Professional Services,11-50,Germany,Starter,Marco Riva,Webinar,5252.3,4473.41,0.1483,372.78,72.3,TRUE,Dynamic forms
DEAL-000045-00,ACC 000045,PossiblePage Account 0045,Original,,2025-07-27,2025-08-22,Financial Services,11-50,France,Starter,Sara Villa,Inbound Demo,8877.87,7681.91,0.1347,640.16,96.1,FALSE,
DEAL-000046-00,ACC 000046,PossiblePage Account 0046,Original,,2025-07-20,2025-08-15,Professional Services,11-50,France,Growth,Giulia Neri,Inbound Demo,15350.55,14025.1,0.0863,1168.76,60.5,FALSE,
DEAL-000047-00,ACC-000047,PossiblePage Account 0047,Original,,2025-09-24,2025-10-06,Manufacturing,51-200,Spain,Growth,Elena Costa,Paid Search,23899.32,20907.76,0.1252,1742.31,86.8,FALSE,
DEAL-000048-00,ACC-000048,PossiblePage Account 0048,Original,,2025-11-09,2025-12-08,Real Estate,1-10,Spain,Growth,Marco Riva,Webinar,24180.01,22830.81,0.0558,1902.57,61.8,FALSE,
DEAL-000049-00,ACC-000049,PossiblePage Account 0049,Original,,2025-02-20,2025-03-09,Hospitality,11-50,Italy,Growth,Marta Fabbri,Inbound Demo,19456.92,18427.92,0.0529,1535.66,65.1,TRUE,CRM sync
DEAL-000050-00,ACC-000050,PossiblePage Account 0050,Original,,2025-01-05,2025-01-29,Software,11-50,France,Scale,Elena Costa,Inbound Demo,43981.03,42506.97,0.0335,3542.25,94.4,FALSE,
DEAL-000051-00, ACC-000051 ,PossiblePage Account 0051,Original,,2025-01-09,2025-01-26,Financial Services,11-50,Germany,Starter,Pietro Mancini,Paid Search,8188.48,7107.53,0.132,592.29,62.3,FALSE,
DEAL-000052-00, ACC-000052 ,PossiblePage Account 0052,Original,,2025-06-03,2025-06-10,Real Estate,1000+,Spain,Starter,Marco Riva,Partner,7056.25,7056.25,0,588.02,66.7,FALSE,
DEAL-000053-00,ACC-000053,PossiblePage Account 0053,Original,,2025-02-24,2025-03-11,Professional Services,1-10,United Kingdom,Scale,Elena Costa,Partner,34535.71,32962.1,0.0456,2746.84,95.1,FALSE,
DEAL-000054-00,ACC-000054,PossiblePage Account 0054,Original,,2025-07-15,2025-07-29,Financial Services,11-50,Nordics,Starter,Marta Fabbri,Paid Search,3280.2,2991.78,0.0879,249.32,97.6,FALSE,
DEAL-000055-00, ACC-000055 ,PossiblePage Account 0055,Original,,2025-12-04,2026-01-02,Software,11-50,Netherlands,Growth,Luca Serra,Inbound Demo,17696.9,16215.44,0.0837,1351.29,68.0,FALSE,
DEAL-000056-00, ACC-000056 ,PossiblePage Account 0056,Original,,2025-03-04,2025-03-22,Software,11-50,United Kingdom,Starter,Elena Costa,Inbound Demo,4816.18,4432.08,0.0798,369.34,62.9,FALSE,
DEAL-000057-00,ACC-000057,PossiblePage Account 0057,Original,,2025-05-20,2025-05-27,Software,11-50,Netherlands,Starter,Pietro Mancini,Inbound Demo,5759.61,4983.37,0.1348,415.28,61.7,TRUE,Dynamic forms
DEAL-000058-00,ACC-000058,PossiblePage Account 0058,Original,,2025-06-26,2025-07-26,Manufacturing,1000+,Italy,Growth,Marta Fabbri,Referral,20903.07,17782.53,0.1493,1481.88,41.2,TRUE,CRM sync
DEAL-000059-00,ACC-000059,PossiblePage Account 0059,Original,,2025-02-05,2025-02-25,Manufacturing,51-200,Italy,Growth,Giulia Neri,Inbound Demo,18905.22,16614.7,0.1212,1384.56,66.7,FALSE,
DEAL-000060-00,ACC-000060,PossiblePage Account 0060,Original,,2025-03-29,2025-04-09,Financial Services,11-50,Italy,Scale,Arianna Galli,Referral,29359.89,26951.4,0.082,2245.95,81.9,FALSE,
DEAL-000061-00,ACC-000061,PossiblePage Account 0061,Original,,2025-11-03,2025-11-27,Professional Services,1-10,Spain,Growth,Luca Serra,Paid Search,22445.79,20122.11,0.1035,1676.84,65.9,FALSE,
DEAL-000062-00, ACC-000062 ,PossiblePage Account 0062,Original,,2025-01-09,2025-02-02,Education,1000+,Italy,Growth,Riccardo Leone,Outbound,22183.53,20880.13,0.0588,1740.01,62.7,FALSE,
DEAL-000063-00,acc-000063,PossiblePage Account 0063,Original,,2025-10-13,2025-10-22,Professional Services,51-200,Spain,Growth,Riccardo Leone,Referral,14274.9,12771.85,0.1053,1064.32,59.9,FALSE,
DEAL-000064-00,acc-000064,PossiblePage Account 0064,Original,,2025-04-25,2025-05-09,Professional Services,11-50,France,Starter,Luca Serra,Inbound Demo,5516.45,5091.83,0.077,424.32,33.3,FALSE,
DEAL-000065-00, ACC-000065 ,PossiblePage Account 0065,Original,,2025-04-19,2025-04-27,Financial Services,11-50,Italy,Scale,Sara Villa,Partner,38689.88,35687.1,0.0776,2973.92,66.8,FALSE,
DEAL-000066-00, ACC-000066 ,PossiblePage Account 0066,Original,,2025-02-17,2025-02-26,Education,11-50,Italy,Starter,Arianna Galli,Outbound,7593.9,6615.56,0.1288,551.3,55.1,TRUE,Beta checkout
DEAL-000067-00,acc-000067,PossiblePage Account 0067,Original,,2025-12-31,2026-01-24,Manufacturing,11-50,Italy,Growth,Arianna Galli,Inbound Demo,25516.8,24734.31,0.0307,2061.19,82.1,FALSE,
DEAL-000068-00, ACC-000068 ,PossiblePage Account 0068,Original,,2025-07-11,2025-07-19,Professional Services,11-50,Netherlands,Starter,Elena Costa,Paid Search,3069.51,2730.85,0.1103,227.57,82.7,TRUE,Dynamic forms
DEAL-000069-00,ACC-000069,PossiblePage Account 0069,Original,,2025-05-09,2025-06-07,Retail,201-1000,Spain,Growth,Riccardo Leone,Inbound Demo,17063.5,14703.47,0.1383,1225.29,32.6,FALSE,
DEAL-000070-00,ACC-000070,PossiblePage Account 0070,Original,,2025-12-27,2026-01-15,Hospitality,51-200,Italy,Scale,Marta Fabbri,Partner,48630.33,45656.51,0.0612,3804.71,72.5,FALSE,
DEAL-000071-00,ACC-000071,PossiblePage Account 0071,Original,,2025-09-15,2025-10-08,Financial Services,11-50,Spain,Scale,Sara Villa,Outbound,40537.43,36526.49,0.0989,3043.87,61.6,TRUE,CRM sync
DEAL-000072-00, ACC-000072 ,PossiblePage Account 0072,Original,,2025-07-06,2025-07-09,Education,51-200,Spain,Growth,Nina Poli,Outbound,11996.79,10962.01,0.0863,913.5,75.3,TRUE,Beta checkout
DEAL-000073-00, ACC-000073 ,PossiblePage Account 0073,Original,,2025-12-02,2025-12-23,Education,11-50,United Kingdom,Starter,Marco Riva,Inbound Demo,2422.68,2406.51,0.0067,200.54,76.9,FALSE,
DEAL-000074-00,ACC-000074,PossiblePage Account 0074,Original,,2025-01-09,2025-01-25,Hospitality,11-50,United Kingdom,Starter,Marta Fabbri,Referral,8038.4,7324.75,0.0888,610.4,74.4,TRUE,CRM sync
DEAL-000075-00,ACC-000075,PossiblePage Account 0075,Original,,2025-05-29,2025-06-01,Software,1-10,Spain,Growth,Pietro Mancini,Outbound,15220.88,13002.88,0.1457,1083.57,70.7,TRUE,Beta checkout
DEAL-000076-00,ACC-000076,PossiblePage Account 0076,Original,,2025-09-11,2025-09-18,Financial Services,1-10,Italy,Starter,Nina Poli,Inbound Demo,7931.3,7069.81,0.1086,589.15,60.5,FALSE,
DEAL-000076-01,acc-000076,PossiblePage Account 0076,Correction,SalesOps value correction,2025-09-26,2025-09-18,Financial Services,1-10,Italy,Starter,Nina Poli,Inbound Demo,8123.05,7303.48,0.0328,608.62,60.5,FALSE,
DEAL-000077-00, ACC-000077 ,PossiblePage Account 0077,Original,,2025-02-17,2025-03-17,Professional Services,51-200,Germany,Starter,Sara Villa,Webinar,8376.41,7909.66,0.0557,659.14,81.0,FALSE,
DEAL-000078-00,ACC-000078,PossiblePage Account 0078,Original,,2025-10-20,2025-10-21,Retail,1-10,United Kingdom,Scale,Giulia Neri,Webinar,33332.98,27191.45,0.1842,2265.95,73.8,FALSE,
DEAL-000079-00,acc-000079,PossiblePage Account 0079,Original,,2025-06-20,2025-06-24,Software,51-200,United Kingdom,Starter,Arianna Galli,Paid Search,6778.8,6750.21,0.0042,562.52,90.2,FALSE,
DEAL-000080-00,acc-000080,PossiblePage Account 0080,Original,,2025-08-18,2025-08-20,Real Estate,51-200,Nordics,Growth,Elena Costa,Referral,17169.24,14984.02,0.1273,1248.67,66.4,FALSE,
DEAL-000081-00,acc-000081,PossiblePage Account 0081,Original,,2025-05-04,2025-05-21,Hospitality,1-10,Nordics,Growth,Marco Riva,Webinar,22509.5,19038.51,0.1542,1586.54,41.9,FALSE,
DEAL-000082-00,acc-000082,PossiblePage Account 0082,Original,,2025-05-08,2025-05-29,Software,51-200,Italy,Starter,Marco Riva,Partner,4548.38,4378.57,0.0373,364.88,67.2,FALSE,
DEAL-000083-00,ACC-000083,PossiblePage Account 0083,Original,,2025-03-27,2025-04-08,Education,11-50,France,Scale,Pietro Mancini,Outbound,30848.63,28197.65,0.0859,2349.8,77.2,FALSE,
DEAL-000084-00,ACC-000084,PossiblePage Account 0084,Original,,2025-03-09,2025-03-14,Professional Services,11-50,Italy,Growth,Luca Serra,Inbound Demo,23513.9,21353.33,0.0919,1779.44,86.4,TRUE,AI page builder
DEAL-000085-00,ACC 000085,PossiblePage Account 0085,Original,,2025-11-17,2025-12-04,Nonprofit,1-10,Nordics,Enterprise,Sara Villa,Partner,118801.47,98929.3,0.1673,8244.11,50.1,FALSE,
DEAL-000086-00,ACC-000086,PossiblePage Account 0086,Original,,2025-03-08,2025-03-26,Software,11-50,Italy,Growth,Arianna Galli,Paid Search,23150.87,19589.39,0.1538,1632.45,74.0,TRUE,Dynamic forms
DEAL-000087-00,ACC-000087,PossiblePage Account 0087,Original,,2025-12-20,2025-12-27,Education,1000+,Germany,Scale,Elena Costa,Outbound,49595.4,37486.59,0.2442,3123.88,30.7,TRUE,Advanced integrations
DEAL-000088-00,ACC-000088,PossiblePage Account 0088,Original,,2025-02-03,2025-03-04,Real Estate,11-50,Spain,Starter,Sara Villa,Partner,8666.58,8666.58,0,722.22,70.5,FALSE,
DEAL-000089-00,ACC-000089,PossiblePage Account 0089,Original,,2025-04-10,2025-05-09,Software,11-50,Nordics,Scale,Nina Poli,Paid Search,42896.11,32816.26,0.235,2734.69,48.0,TRUE,Dynamic forms
DEAL-000090-00,ACC-000090,PossiblePage Account 0090,Original,,2025-03-29,2025-03-30,Software,51-200,Spain,Growth,Pietro Mancini,Inbound Demo,21239.9,19200.43,0.096,1600.04,86.4,FALSE,
DEAL-000091-00,ACC 000091,PossiblePage Account 0091,Original,,2025-04-01,2025-04-17,Retail,11-50,Nordics,Growth,Marco Riva,Inbound Demo,10708.19,9810.1,0.0839,817.51,57.3,FALSE,
DEAL-000092-00,ACC 000092,PossiblePage Account 0092,Original,,2025-10-03,2025-10-15,Healthcare,11-50,Italy,Starter,Luca Serra,Paid Search,8604.28,8031.61,0.0666,669.3,55.9,FALSE,
DEAL-000093-00,ACC-000093,PossiblePage Account 0093,Original,,2025-11-16,2025-12-13,Real Estate,51-200,Netherlands,Starter,Giulia Neri,Outbound,8901.54,7259.44,0.1845,604.95,36.8,FALSE,
DEAL-000094-00,ACC-000094,PossiblePage Account 0094,Original,,2025-10-02,2025-10-21,Professional Services,11-50,Italy,Growth,Marco Riva,Partner,11262.56,8845.46,0.2146,737.12,43.1,FALSE,
DEAL-000095-00,ACC-000095,PossiblePage Account 0095,Original,,2025-07-20,2025-08-07,Software,11-50,United Kingdom,Growth,Marco Riva,Paid Search,17579.51,15634.66,0.1106,1302.89,76.2,TRUE,CRM sync
DEAL-000096-00,acc-000096,PossiblePage Account 0096,Original,,2025-09-21,2025-09-27,Nonprofit,11-50,Germany,Growth,Marta Fabbri,Partner,14995.54,14153.0,0.0562,1179.42,68.4,FALSE,
DEAL-000096-01,acc-000096,PossiblePage Account 0096,Correction,SalesOps value correction,2025-09-30,2025-09-27,Nonprofit,11-50,Germany,Growth,Marta Fabbri,Partner,15504.63,13734.18,0.1142,1144.51,68.4,FALSE,
DEAL-000097-00, ACC-000097 ,PossiblePage Account 0097,Original,,2025-06-16,2025-06-29,Professional Services,11-50,Italy,Scale,Riccardo Leone,Referral,67725.92,55382.31,0.1823,4615.19,27.7,TRUE,CRM sync
DEAL-000098-00,ACC-000098,PossiblePage Account 0098,Original,,2025-02-18,2025-02-28,Hospitality,201-1000,United Kingdom,Scale,Riccardo Leone,Paid Search,45138.23,38649.71,0.1437,3220.81,92.0,FALSE,
DEAL-000099-00,ACC-000099,PossiblePage Account 0099,Original,,2025-04-28,2025-05-11,Healthcare,11-50,Italy,Starter,Riccardo Leone,Partner,5533.49,4563.77,0.1752,380.31,51.3,TRUE,Beta checkout
DEAL-000100-00, ACC-000100 ,PossiblePage Account 0100,Original,,2025-01-02,2025-01-10,Professional Services,51-200,Spain,Scale,Marta Fabbri,Inbound Demo,31265.53,29033.04,0.0714,2419.42,73.7,FALSE,
DEAL-000101-00,ACC 000101,PossiblePage Account 0101,Original,,2025-12-15,2025-12-28,Financial Services,51-200,Netherlands,Scale,Nina Poli,Outbound,28761.04,24946.14,0.1326,2078.84,84.8,FALSE,
DEAL-000102-00,ACC-000102,PossiblePage Account 0102,Original,,2025-10-30,2025-11-19,Software,1-10,France,Scale,Sara Villa,Inbound Demo,44203.68,39028.9,0.1171,3252.41,85.3,FALSE,
DEAL-000103-00, ACC-000103 ,PossiblePage Account 0103,Original,,2025-12-22,2026-01-12,Financial Services,11-50,Spain,Starter,Marta Fabbri,Paid Search,7321.05,6355.9,0.1318,529.66,85.5,FALSE,
DEAL-000104-00,acc-000104,PossiblePage Account 0104,Original,,2025-05-19,2025-05-28,Hospitality,51-200,Italy,Starter,Elena Costa,Outbound,3790.85,3396.01,0.1042,283.0,81.2,FALSE,
DEAL-000105-00,ACC-000105,PossiblePage Account 0105,Original,,2025-04-21,2025-05-11,Professional Services,1000+,United Kingdom,Starter,Luca Serra,Inbound Demo,6471.88,5816.99,0.1012,484.75,59.9,TRUE,Beta checkout
DEAL-000106-00,ACC-000106,PossiblePage Account 0106,Original,,2025-06-16,2025-06-24,Software,1-10,Nordics,Growth,Arianna Galli,Partner,10338.65,7937.72,0.2322,661.48,37.0,TRUE,Dynamic forms
DEAL-000107-00,ACC 000107,PossiblePage Account 0107,Original,,2025-11-26,2025-12-14,Manufacturing,51-200,Spain,Starter,Sara Villa,Inbound Demo,5816.66,5682.2,0.0231,473.52,65.3,FALSE,
DEAL-000108-00,ACC-000108,PossiblePage Account 0108,Original,,2025-12-29,2026-01-19,Software,51-200,Italy,Growth,Marta Fabbri,Partner,20372.86,19059.97,0.0644,1588.33,92.6,FALSE,
DEAL-000109-00, ACC-000109 ,PossiblePage Account 0109,Original,,2025-02-17,2025-03-12,Hospitality,51-200,Spain,Growth,Marco Riva,Referral,9960.32,8668.3,0.1297,722.36,61.3,TRUE,CRM sync
DEAL-000110-00,ACC 000110,PossiblePage Account 0110,Original,,2025-09-18,2025-10-13,Retail,11-50,Nordics,Growth,Marta Fabbri,Outbound,14598.4,12723.76,0.1284,1060.31,56.5,FALSE,
DEAL-000111-00,ACC-000111,PossiblePage Account 0111,Original,,2025-08-30,2025-09-04,Healthcare,1-10,Spain,Enterprise,Marta Fabbri,Outbound,110836.48,93498.12,0.1564,7791.51,58.1,FALSE,
DEAL-000112-00,ACC 000112,PossiblePage Account 0112,Original,,2025-01-11,2025-01-14,Software,201-1000,United Kingdom,Growth,Sara Villa,Outbound,23792.31,19714.51,0.1714,1642.88,34.6,FALSE,
DEAL-000113-00,ACC-000113,PossiblePage Account 0113,Original,,2025-07-04,2025-07-04,Nonprofit,51-200,Netherlands,Growth,Pietro Mancini,Inbound Demo,15070.7,11509.37,0.2363,959.11,31.7,TRUE,AI page builder
DEAL-000114-00, ACC-000114 ,PossiblePage Account 0114,Original,,2025-07-13,2025-07-13,Nonprofit,201-1000,Italy,Scale,Arianna Galli,Inbound Demo,39994.16,36622.49,0.0843,3051.87,64.5,FALSE,
DEAL-000115-00,ACC-000115,PossiblePage Account 0115,Original,,2025-12-26,2026-01-03,Manufacturing,201-1000,Germany,Starter,Pietro Mancini,Inbound Demo,5005.28,4152.6,0.1704,346.05,62.5,FALSE,
DEAL-000116-00,ACC 000116,PossiblePage Account 0116,Original,,2025-12-03,2025-12-15,Software,1000+,Germany,Scale,Sara Villa,Outbound,61579.85,57668.54,0.0635,4805.71,75.3,FALSE,
DEAL-000117-00,ACC 000117,PossiblePage Account 0117,Original,,2025-02-21,2025-03-14,Professional Services,11-50,Italy,Growth,Nina Poli,Inbound Demo,20467.07,17762.15,0.1322,1480.18,41.9,FALSE,
DEAL-000118-00, ACC-000118 ,PossiblePage Account 0118,Original,,2025-01-04,2025-01-30,Financial Services,1-10,Italy,Growth,Elena Costa,Paid Search,15567.2,14714.77,0.0548,1226.23,65.9,FALSE,
DEAL-000119-00,ACC-000119,PossiblePage Account 0119,Original,,2025-04-28,2025-05-28,Software,11-50,Netherlands,Growth,Nina Poli,Webinar,14046.72,12469.91,0.1123,1039.16,55.9,FALSE,
DEAL-000120-00,ACC 000120,PossiblePage Account 0120,Original,,2025-11-03,2025-11-10,Healthcare,11-50,Italy,Growth,Pietro Mancini,Paid Search,19703.96,18254.16,0.0736,1521.18,97.6,TRUE,Dynamic forms
DEAL-000121-00,ACC-000121,PossiblePage Account 0121,Original,,2025-01-02,2025-01-02,Financial Services,11-50,Nordics,Starter,Marco Riva,Partner,8045.37,7539.59,0.0629,628.3,80.6,FALSE,
