health_account_key,month,nps,csat,health_score,churn_flag,churn_reason,customer_success_owner
ACC-000012,2025-11-01,-12,3.7,52.4,FALSE,,CS Team C
 ACC-000012 ,2025-12-01,-16,3.7,53.7,FALSE,,CS Team C
ACC-000013,2025-01-01,4,3.2,42.1,FALSE,,CS Team B
ACC 000013,2025-02-01,-27,2.3,34.7,FALSE,,CS Team C
ACC 000013,2025-03-01,-24,2.2,38.7,FALSE,,CS Team A
 ACC-000013 ,2025-04-01,-5,2.8,31.7,FALSE,,CS Team A
acc-000013,2025-05-01,-20,2.7,35.4,TRUE,Low product fit,CS Team A
ACC 000013,2025-06-01,-78,1,6.8,FALSE,,CS Team B
ACC-000013,2025-07-01,-89,1,4.4,FALSE,,CS Team B
ACC-000013,2025-08-01,-74,2.2,9.2,FALSE,,CS Team B
ACC-000013,2025-09-01,-38,2.0,14.0,FALSE,,CS Team A
 ACC-000013 ,2025-10-01,-58,1.1,1.6,FALSE,,CS Team A
ACC-000013,2025-11-01,-71,1.5,11.0,FALSE,,CS Team B
acc-000013,2025-12-01,-46,1.2,12.7,FALSE,,CS Team A
 ACC-000014 ,2025-01-01,38,3.4,57.8,FALSE,,CS Team A
 ACC-000014 ,2025-02-01,24,3.9,57.0,TRUE,Low product fit,CS Team A
ACC-000014,2025-03-01,-61,1.2,4.2,FALSE,,CS Team B
acc-000014,2025-04-01,-56,1.1,11.6,FALSE,,CS Team A
ACC-000014,2025-05-01,-68,1,6.6,FALSE,,CS Team A
 ACC-000014 ,2025-06-01,-40,1.4,3.0,FALSE,,CS Team C
ACC-000014,2025-07-01,-72,1,4.2,FALSE,,CS Team C
ACC-000014,2025-08-01,-68,1,2.6,FALSE,,CS Team C
ACC-000014,2025-09-01,-78,1.8,2.2,FALSE,,CS Team A
 ACC-000014 ,2025-10-01,-58,2.1,14.4,FALSE,,CS Team A
ACC-000014,2025-11-01,-100,1,1.8,FALSE,,CS Team A
ACC-000014,2025-12-01,-100,1.7,2.9,FALSE,,CS Team A
acc-000015,2025-01-01,68,5,99.7,FALSE,,CS Team B
 ACC-000015 ,2025-02-01,40,5,92.6,FALSE,,CS Team A
ACC-000015,2025-03-01,73,4.4,100,FALSE,,CS Team A
ACC-000015,2025-04-01,65,5,93.7,FALSE,,CS Team B
ACC-000015,2025-05-01,100,5,96.6,FALSE,,CS Team C
ACC 000015,2025-06-01,77,5,100,FALSE,,CS Team B
ACC-000015,2025-07-01,92,4.3,100,FALSE,,CS Team A
ACC-000015,2025-08-01,70,4.3,97.3,FALSE,,CS Team C
 ACC-000015 ,2025-09-01,86,4.7,92.1,FALSE,,CS Team B
acc-000015,2025-10-01,99,5,99.2,FALSE,,CS Team C
ACC-000015,2025-11-01,54,4.0,98.5,FALSE,,CS Team C
 ACC-000015 ,2025-12-01,34,4.4,93.1,FALSE,,CS Team B
ACC-000016,2025-01-01,52,4.1,78.1,FALSE,,CS Team A
 ACC-000016 ,2025-02-01,80,4.0,71.9,FALSE,,CS Team B
acc-000016,2025-03-01,68,5,81.0,FALSE,,CS Team C
ACC 000016,2025-04-01,46,4.7,81.5,FALSE,,CS Team A
ACC-000016,2025-05-01,53,4.0,78.5,FALSE,,Strategic CS
acc-000016,2025-06-01,64,4.1,72.6,FALSE,,CS Team A
ACC-000016,2025-07-01,56,4.0,76.3,FALSE,,CS Team C
 ACC-000016 ,2025-08-01,18,3.6,66.4,FALSE,,CS Team C
acc-000016,2025-09-01,10,3.9,62.0,FALSE,,CS Team B
ACC 000016,2025-10-01,28,2.8,73.2,FALSE,,CS Team A
ACC-000016,2025-11-01,15,2.8,64.1,FALSE,,CS Team B
ACC-000016,2025-12-01,5,3.2,64.2,FALSE,,CS Team A
ACC 000017,2025-01-01,-53,3.6,43.5,FALSE,,CS Team C
ACC-000017,2025-02-01,21,2.6,38.3,FALSE,,CS Team A
ACC-000017,2025-03-01,-13,2.5,34.9,FALSE,,CS Team C
ACC-000017,2025-04-01,-27,2.7,39.2,FALSE,,CS Team A
ACC-000017,2025-05-01,-38,1.9,35.3,FALSE,,CS Team B
ACC 000017,2025-06-01,9,2.1,40.8,FALSE,,CS Team B
ACC 000017,2025-07-01,-32,1.3,34.7,FALSE,,CS Team C
ACC-000017,2025-08-01,-15,2.1,38.7,FALSE,,CS Team A
ACC-000017,2025-09-01,-54,2.8,34.5,FALSE,,CS Team C
acc-000017,2025-10-01,-21,2.5,32.2,FALSE,,CS Team C
acc-000017,2025-11-01,-11,2.6,40.3,FALSE,,CS Team A
 ACC-000017 ,2025-12-01,-27,2.9,28.5,FALSE,,CS Team C
 ACC-000018 ,2025-01-01,61,3.9,74.3,FALSE,,CS Team C
ACC 000018,2025-02-01,37,3.1,74.0,FALSE,,CS Team A
ACC-000018,2025-03-01,49,4.9,78.6,FALSE,,CS Team B
ACC-000018,2025-04-01,36,3.8,78.7,FALSE,,CS Team B
ACC-000018,2025-05-01,71,4.1,75.9,FALSE,,Strategic CS
ACC-000018,2025-06-01,72,3.2,73.2,FALSE,,Strategic CS
 ACC-000018 ,2025-07-01,32,3.6,76.1,FALSE,,CS Team A
ACC 000018,2025-08-01,18,4.2,77.7,FALSE,,Strategic CS
ACC-000018,2025-09-01,30,4.3,68.0,FALSE,,CS Team B
ACC-000018,2025-10-01,50,4.2,75.4,FALSE,,CS Team C
ACC-000018,2025-11-01,35,4.4,71.4,FALSE,,CS Team A
ACC-000018,2025-12-01,84,4.0,80.8,FALSE,,CS Team A
ACC-000019,2025-01-01,64,3.1,73.6,FALSE,,CS Team B
ACC-000019,2025-02-01,41,4.4,64.2,FALSE,,CS Team A
acc-000019,2025-03-01,28,4.2,71.1,FALSE,,CS Team C
ACC-000019,2025-04-01,17,3.9,62.2,FALSE,,CS Team A
ACC-000019,2025-05-01,4,2.7,60.3,FALSE,,CS Team A
ACC-000019,2025-06-01,34,3.4,58.8,FALSE,,CS Team B
ACC-000019,2025-07-01,18,3.6,61.3,FALSE,,CS Team C
acc-000019,2025-08-01,-5,3.4,48.7,FALSE,,CS Team B
ACC-000019,2025-09-01,-24,3.7,56.1,FALSE,,CS Team C
ACC-000019,2025-10-01,11,2.5,54.4,FALSE,,CS Team A
acc-000019,2025-11-01,1,2.3,57.0,FALSE,,CS Team A
acc-000019,2025-12-01,10,3.6,50.2,FALSE,,CS Team B
acc-000020,2025-01-01,33,4.1,69.9,FALSE,,CS Team B
 ACC-000020 ,2025-02-01,47,3.9,76.4,FALSE,,CS Team B
ACC-000020,2025-03-01,60,4.6,76.1,FALSE,,CS Team C
ACC-000020,2025-04-01,78,4.6,72.0,FALSE,,CS Team B
ACC-000020,2025-05-01,23,4.5,69.8,FALSE,,Strategic CS
ACC-000020,2025-06-01,13,3.8,71.8,FALSE,,CS Team C
acc-000020,2025-07-01,36,3.1,73.2,FALSE,,CS Team B
ACC-000020,2025-08-01,51,4.0,74.6,FALSE,,CS Team C
acc-000020,2025-09-01,32,4.7,66.7,FALSE,,CS Team B
acc-000020,2025-10-01,64,5,75.8,FALSE,,CS Team B
ACC 000020,2025-11-01,44,3.9,79.2,FALSE,,Strategic CS
ACC-000020,2025-12-01,40,4.2,78.4,FALSE,,CS Team A
ACC-000021,2025-01-01,83,4.4,92.8,FALSE,,CS Team C
ACC-000021,2025-02-01,59,4.5,84.8,FALSE,,CS Team B
ACC-000021,2025-03-01,74,3.4,74.7,FALSE,,CS Team C
ACC-000021,2025-04-01,56,4.5,84.9,FALSE,,CS Team A
acc-000021,2025-05-01,24,3.8,85.3,FALSE,,CS Team B
acc-000021,2025-06-01,50,3.8,68.7,FALSE,,CS Team A
ACC 000021,2025-07-01,38,4.0,77.8,FALSE,,CS Team A
ACC-000021,2025-08-01,62,4.7,82.1,TRUE,Switched vendor,CS Team B
ACC-000021,2025-09-01,-55,1,11.5,FALSE,,CS Team B
ACC-000021,2025-10-01,-54,1.8,8.4,FALSE,,CS Team B
ACC-000021,2025-11-01,-64,1.6,12.1,FALSE,,CS Team A
ACC-000021,2025-12-01,-77,1.4,4.2,FALSE,,CS Team A
ACC-000022,2025-01-01,73,3.9,79.6,FALSE,,CS Team A
ACC-000022,2025-02-01,67,4.6,82.3,FALSE,,CS Team C
 ACC-000022 ,2025-03-01,38,4.3,80.0,FALSE,,CS Team C
ACC-000022,2025-04-01,47,4.0,81.0,FALSE,,CS Team C
ACC 000022,2025-05-01,41,4.3,83.4,FALSE,,CS Team B
 ACC-000022 ,2025-06-01,42,3.6,75.0,FALSE,,CS Team C
 ACC-000022 ,2025-07-01,65,4.4,82.2,FALSE,,CS Team B
 ACC-000022 ,2025-08-01,60,4.0,86.9,FALSE,,CS Team B
ACC-000022,2025-09-01,29,4.5,80.6,FALSE,,CS Team A
ACC-000022,2025-10-01,46,4.2,76.2,FALSE,,CS Team C
acc-000022,2025-11-01,39,3.7,78.5,FALSE,,CS Team B
ACC 000022,2025-12-01,52,4.9,86.3,FALSE,,CS Team A
ACC-000023,2025-01-01,69,4.3,98.4,FALSE,,CS Team B
 ACC-000023 ,2025-02-01,48,3.8,96.5,FALSE,,CS Team A
ACC-000023,2025-03-01,94,5,100,FALSE,,CS Team B
acc-000023,2025-04-01,65,4.0,91.9,FALSE,,CS Team B
 ACC-000023 ,2025-05-01,58,5,100,FALSE,,CS Team B
 ACC-000023 ,2025-06-01,100,4.4,100,FALSE,,CS Team B
ACC-000023,2025-07-01,50,4.9,100,FALSE,,CS Team B
acc-000023,2025-08-01,52,4.9,100,FALSE,,Strategic CS
acc-000023,2025-09-01,78,4.6,96.6,FALSE,,CS Team A
acc-000023,2025-10-01,85,4.6,100,FALSE,,CS Team A
ACC-000023,2025-11-01,85,4.8,99.6,FALSE,,CS Team B
ACC-000023,2025-12-01,79,5,100,FALSE,,CS Team C
ACC-000024,2025-01-01,37,3.0,81.0,FALSE,,CS Team A
ACC-000024,2025-02-01,26,4.6,72.9,FALSE,,CS Team C
acc-000024,2025-03-01,51,4.3,80.5,FALSE,,CS Team A
ACC-000024,2025-04-01,50,4.1,78.4,FALSE,,Strategic CS
ACC-000024,2025-05-01,52,4.2,84.4,FALSE,,CS Team B
ACC-000024,2025-06-01,72,4.7,82.0,FALSE,,CS Team C
ACC 000024,2025-07-01,75,4.9,81.6,FALSE,,CS Team B
acc-000024,2025-08-01,37,4.4,83.4,FALSE,,CS Team C
acc-000024,2025-09-01,23,3.9,78.4,FALSE,,CS Team B
ACC-000024,2025-10-01,37,3.6,77.0,FALSE,,Strategic CS
ACC 000024,2025-11-01,65,4.2,86.4,FALSE,,CS Team A
ACC-000024,2025-12-01,42,4.4,84.0,FALSE,,CS Team C
ACC-000025,2025-01-01,75,4.6,82.0,FALSE,,Strategic CS
acc-000025,2025-02-01,56,4.2,81.6,FALSE,,CS Team A
ACC 000025,2025-03-01,25,4.1,80.9,FALSE,,CS Team C
 ACC-000025 ,2025-04-01,50,4.4,70.9,FALSE,,CS Team A
ACC-000025,2025-05-01,83,4.5,80.2,FALSE,,CS Team B
ACC-000025,2025-06-01,76,4.7,92.6,FALSE,,CS Team C
ACC-000025,2025-07-01,22,4.4,77.9,FALSE,,CS Team A
ACC-000025,2025-08-01,20,4.6,75.9,FALSE,,CS Team A
acc-000025,2025-09-01,33,3.8,74.7,FALSE,,CS Team B
ACC-000025,2025-10-01,55,4.2,89.5,FALSE,,CS Team C
ACC-000025,2025-11-01,48,4.4,81.9,FALSE,,CS Team B
ACC-000025,2025-12-01,65,4.5,88.3,FALSE,,CS Team B
ACC-000026,2025-01-01,29,3.8,68.3,FALSE,,CS Team A
 ACC-000026 ,2025-02-01,35,4.6,75.5,FALSE,,CS Team A
ACC-000026,2025-03-01,36,3.5,71.5,FALSE,,CS Team B
acc-000026,2025-04-01,46,4.3,77.3,FALSE,,CS Team B
ACC-000026,2025-05-01,7,5,73.6,FALSE,,CS Team A
 ACC-000026 ,2025-06-01,5,3.6,67.4,TRUE,Switched vendor,CS Team C
acc-000026,2025-07-01,-79,2.0,12.6,FALSE,,CS Team B
 ACC-000026 ,2025-08-01,-49,1.8,13.6,FALSE,,CS Team A
ACC-000026,2025-09-01,-88,1,3.3,FALSE,,CS Team A
 ACC-000026 ,2025-10-01,-72,1,3.4,FALSE,,CS Team B
 ACC-000026 ,2025-11-01,-100,1,4.6,FALSE,,CS Team B
ACC-000026,2025-12-01,-98,1,14.6,FALSE,,CS Team B
acc-000027,2025-01-01,-32,2.7,36.2,FALSE,,CS Team B
acc-000027,2025-02-01,-26,1.6,35.5,FALSE,,CS Team C
ACC 000027,2025-03-01,-54,1.2,30.8,FALSE,,CS Team B
ACC 000027,2025-04-01,-40,2.2,32.1,FALSE,,CS Team A
ACC-000027,2025-05-01,-21,2.6,38.6,FALSE,,CS Team B
 ACC-000027 ,2025-06-01,-42,1.9,20.5,FALSE,,CS Team A
ACC-000027,2025-07-01,-47,2.0,28.6,FALSE,,CS Team B
ACC-000027,2025-08-01,-30,2.5,30.5,FALSE,,CS Team B
 ACC-000027 ,2025-09-01,-40,2.6,22.8,FALSE,,CS Team B
ACC-000027,2025-10-01,-61,1.9,27.0,FALSE,,CS Team C
ACC-000027,2025-11-01,-31,2.4,25.9,FALSE,,CS Team B
ACC-000027,2025-12-01,-50,2.0,16.8,FALSE,,CS Team B
ACC-000028,2025-01-01,18,3.7,83.9,FALSE,,Strategic CS
ACC 000028,2025-02-01,64,4.8,89.5,FALSE,,CS Team B
ACC-000028,2025-03-01,60,4.8,81.1,FALSE,,CS Team A
ACC-000028,2025-04-01,46,4.7,84.5,FALSE,,CS Team C
ACC-000028,2025-05-01,51,4.9,82.3,FALSE,,CS Team B
ACC 000028,2025-06-01,32,4.1,86.4,FALSE,,CS Team C
ACC-000028,2025-07-01,55,4.5,81.3,FALSE,,CS Team C
ACC-000028,2025-08-01,45,3.8,82.6,FALSE,,CS Team C
acc-000028,2025-09-01,96,5,97.4,FALSE,,CS Team C
acc-000028,2025-10-01,57,5,91.7,FALSE,,CS Team A
acc-000028,2025-11-01,33,4.4,78.6,FALSE,,CS Team A
ACC 000028,2025-12-01,90,4.7,88.9,FALSE,,CS Team A
ACC-000029,2025-01-01,76,4.9,91.5,FALSE,,CS Team B
acc-000029,2025-02-01,92,4.9,93.8,FALSE,,CS Team B
 ACC-000029 ,2025-03-01,63,5,100,FALSE,,CS Team A
ACC-000029,2025-04-01,50,4.4,88.1,FALSE,,CS Team A
ACC 000029,2025-05-01,73,4.8,97.3,FALSE,,CS Team C
ACC-000029,2025-06-01,43,5.0,93.5,FALSE,,CS Team C
ACC-000029,2025-07-01,44,5,100,FALSE,,CS Team C
ACC-000029,2025-08-01,78,5,100,FALSE,,CS Team A
acc-000029,2025-09-01,98,5,96.5,FALSE,,CS Team A
ACC-000029,2025-10-01,66,4.9,94.2,FALSE,,CS Team A
ACC-000029,2025-11-01,64,5,94.9,FALSE,,CS Team B
ACC-000029,2025-12-01,73,4.6,96.2,FALSE,,CS Team A
ACC 000030,2025-01-01,49,5,87.2,FALSE,,CS Team B
acc-000030,2025-02-01,71,5,83.5,FALSE,,CS Team B
ACC 000030,2025-03-01,64,4.0,80.5,FALSE,,CS Team A
ACC-000030,2025-04-01,55,4.9,92.0,FALSE,,CS Team A
ACC-000030,2025-05-01,65,4.3,84.7,FALSE,,CS Team A
ACC-000030,2025-06-01,77,4.9,86.8,FALSE,,CS Team B
ACC-000030,2025-07-01,56,3.7,80.5,FALSE,,CS Team A
ACC-000030,2025-08-01,75,4.8,86.6,FALSE,,CS Team A
ACC-000030,2025-09-01,18,4.7,79.6,FALSE,,CS Team A
 ACC-000030 ,2025-10-01,35,4.2,82.9,FALSE,,CS Team B
acc-000030,2025-11-01,54,4.1,81.8,FALSE,,CS Team A
acc-000030,2025-12-01,40,3.3,79.3,FALSE,,CS Team B
ACC-000031,2025-01-01,37,3.6,68.3,FALSE,,CS Team B
ACC-000031,2025-02-01,23,3.9,64.2,FALSE,,CS Team A
ACC-000031,2025-03-01,2,3.8,75.8,FALSE,,CS Team A
 ACC-000031 ,2025-04-01,51,3.9,77.2,FALSE,,CS Team B
ACC-000031,2025-05-01,54,4.1,73.9,FALSE,,CS Team A
 ACC-000031 ,2025-06-01,53,3.7,65.4,FALSE,,CS Team A
 ACC-000031 ,2025-07-01,21,3.8,70.7,FALSE,,CS Team C
ACC-000031,2025-08-01,4,3.3,65.1,FALSE,,Strategic CS
acc-000031,2025-09-01,14,3.6,64.1,FALSE,,Strategic CS
ACC 000031,2025-10-01,52,4.1,67.6,FALSE,,CS Team C
ACC 000031,2025-11-01,30,3.0,66.2,FALSE,,CS Team C
ACC-000031,2025-12-01,34,4.2,79.7,FALSE,,CS Team C
ACC-000032,2025-01-01,-5,2.4,43.4,FALSE,,Strategic CS
ACC-000032,2025-02-01,-29,1.9,39.6,FALSE,,CS Team C
ACC-000032,2025-03-01,-13,2.2,39.3,FALSE,,CS Team A
 ACC-000032 ,2025-04-01,-45,2.4,34.2,FALSE,,CS Team A
ACC-000032,2025-05-01,-20,2.8,33.5,FALSE,,CS Team A
acc-000032,2025-06-01,-19,2.5,37.9,FALSE,,CS Team B
ACC-000032,2025-07-01,-56,2.7,32.6,FALSE,,CS Team B
ACC 000032,2025-08-01,-24,2.5,29.9,FALSE,,CS Team B
 ACC-000032 ,2025-09-01,-75,1,27.5,FALSE,,CS Team A
ACC-000032,2025-10-01,-19,2.5,35.2,FALSE,,CS Team A
