ticket_id,support_account_key,created_date,ticket_category,priority,first_response_hours,resolution_hours,support_csat,channel
TKT-000035,ACC-000013,2026-10-17,Onboarding,Low,13.79,51.23,4.2,Email
TKT-000036,acc-000013,2026-10-23,Billing,High,19.84,53.99,2.3,Email
TKT-000037, ACC-000013 ,2026-03-18,Integration,High,28.07,69.69,3.8,Chat
TKT-000038,acc-000013,2026-02-11,Onboarding,Medium,13.19,47.37,4.3,Phone
TKT-000039,ACC-000013,2026-10-15,Billing,Low,16.31,55.42,4.0,Chat
TKT-000040,ACC 000013,2026-09-15,Performance,Urgent,21.68,37.13,2.2,Chat
TKT-000041,ACC-000013,2026-09-26,Onboarding,Urgent,18.86,65.66,3.0,Email
TKT-000042,ACC-000013,2026-08-04,Integration,Medium,14.92,49.0,3.4,Chat
TKT-000043,ACC 000013,2026-08-30,Onboarding,Urgent,16.84,61.94,4.6,Chat
TKT-000044,ACC-000013,2026-08-31,Bug,High,20.41,74.81,3.4,Phone
TKT-000045,ACC 000013,2026-06-22,Onboarding,Medium,9.46,12.79,3.7,Phone
TKT-000046,ACC 000014,2025-07-03,Onboarding,Medium,18.9,52.45,2.5,Email
TKT-000047,ACC-000014,2026-01-25,Onboarding,Urgent,22.85,56.3,2.7,Phone
TKT-000048, ACC-000014 ,2025-04-14,Onboarding,High,24.28,73.32,4.3,Chat
TKT-000049,acc-000015,2026-01-25,Performance,Medium,7.24,28.89,4.7,Help Center
TKT-000050,ACC-000015,2026-01-31,Integration,High,10.64,25.36,4.7,Phone
TKT-000051,ACC 000015,2025-12-04,Onboarding,Low,2.13,31.15,4.6,Chat
TKT-000052,ACC-000015,2026-01-17,Onboarding,Medium,11.38,42.91,4.0,Chat
TKT-000053,ACC-000015,2026-08-01,Bug,Medium,9.0,22.02,3.7,Phone
TKT-000054,acc-000015,2026-03-15,Onboarding,Low,0.2,7.0,7,Email
TKT-000055,ACC-000015,2026-06-27,Beta feature,Low,8.11,29.73,3.7,Email
TKT-000056, ACC-000016 ,2025-09-06,Beta feature,Medium,16.77,64.85,2.2,Email
TKT-000057,ACC 000016,2025-09-04,Onboarding,Medium,20.73,46.4,4.3,Email
TKT-000058,ACC-000016,2025-06-04,Integration,Urgent,20.66,68.8,1.9,Chat
TKT-000059, ACC-000016 ,2025-07-08,Performance,Urgent,15.42,42.96,2.6,Chat
TKT-000060, ACC-000016 ,2026-02-19,Onboarding,High,16.52,40.27,2.4,Email
TKT-000061,ACC-000017,2026-03-10,Onboarding,High,25.77,74.45,3.6,Phone
TKT-000062,ACC-000017,2026-03-06,Onboarding,High,17.89,49.95,1.1,Help Center
TKT-000063, ACC-000019 ,2025-03-21,Onboarding,Medium,12.12,38.07,3.5,Chat
TKT-000064,ACC-000019,2025-03-29,Onboarding,Low,12.14,56.98,3.1,Help Center
TKT-000065,ACC-000019,2026-01-06,Bug,High,22.81,92.97,3.4,Email
TKT-000066,ACC-000019,2025-01-21,Performance,Urgent,20.53,57.55,1.9,Email
TKT-000067,ACC-000019,2025-10-08,Billing,Low,11.12,47.85,3.2,Email
TKT-000068,acc-000019,2025-09-03,Performance,Urgent,23.95,58.81,2.8,Email
TKT-000069,ACC-000019,2025-12-24,Bug,High,16.76,45.94,3.8,Chat
TKT-000070,ACC-000020,2025-08-23,Onboarding,High,24.15,51.62,2.9,Help Center
TKT-000071,ACC-000020,2026-01-25,Onboarding,Low,13.09,33.55,3.7,Email
TKT-000072,ACC-000020,2025-10-22,Billing,Low,9.81,37.07,4.1,Help Center
TKT-000073,ACC-000020,2025-03-08,Billing,High,13.62,42.83,3.6,Phone
TKT-000074, ACC-000020 ,2025-07-05,Beta feature,High,11.25,35.73,4.0,Chat
TKT-000075,ACC-000020,2025-06-27,Integration,Medium,12.13,73.17,4.5,Chat
TKT-000076, ACC-000021 ,2026-05-10,Bug,Medium,4.94,35.68,4.9,Email
TKT-000077,ACC 000021,2026-05-30,Onboarding,Medium,4.4,14.84,3.8,Phone
TKT-000078,ACC 000021,2026-03-03,Onboarding,High,13.35,33.47,5.0,Help Center
TKT-000079,acc-000021,2025-12-12,Integration,Low,8.33,45.95,4.6,Email
TKT-000080, ACC-000021 ,2026-03-26,Billing,High,15.89,65.94,3.6,Phone
TKT-000081,ACC-000021,2025-12-02,Performance,Medium,11.47,47.82,4.9,Chat
TKT-000082,ACC-000022,2025-12-09,Performance,Low,5.07,15.35,4.7,Chat
TKT-000083, ACC-000023 ,2025-12-07,Performance,Medium,10.81,39.15,2.9,Phone
TKT-000084,ACC-000023,2026-01-03,Integration,Medium,6.17,23.28,3.4,Email
TKT-000085,ACC-000023,2026-03-03,Bug,Medium,14.07,47.63,5,Phone
TKT-000086,ACC-000023,2026-04-15,Beta feature,High,15.39,25.86,4.0,Chat
TKT-000087, ACC-000023 ,2026-04-12,Billing,High,12.78,53.39,3.7,Email
TKT-000088, ACC-000023 ,2026-02-04,Bug,Medium,11.19,47.56,4.9,Help Center
TKT-000089,ACC-000023,2025-10-06,Performance,Medium,12.84,71.73,4.3,Email
TKT-000090,ACC-000024,2026-01-18,Integration,High,11.54,46.12,1.7,Chat
TKT-000091,ACC-000024,2026-03-20,Billing,Medium,2.59,10.47,5,Email
TKT-000092,ACC-000024,2025-11-03,Bug,Medium,9.12,28.67,3.9,Email
TKT-000093,ACC-000024,2026-03-14,Billing,Low,2.98,17.98,3.0,Email
TKT-000094,ACC 000025,2026-02-13,Bug,High,12.1,42.39,3.4,Help Center
TKT-000095, ACC-000025 ,2026-03-14,Performance,High,14.69,35.31,5,Email
TKT-000096, ACC-000025 ,2026-03-12,Bug,High,10.93,40.36,2.5,Phone
TKT-000097,acc-000026,2026-09-07,Integration,Low,7.49,40.26,5,Email
TKT-000098,ACC-000027,2025-12-05,Bug,Medium,15.9,38.89,3.7,Email
TKT-000099,ACC-000027,2026-05-04,Billing,Medium,9.15,35.95,3.6,Chat
TKT-000100,ACC-000027,2026-04-11,Beta feature,Low,3.17,26.01,3.6,Email
TKT-000101, ACC-000027 ,2025-09-09,Performance,Medium,8.39,18.12,4.2,Phone
TKT-000102,ACC-000027,2025-11-14,Onboarding,Medium,8.3,37.63,2.7,Chat
TKT-000103,ACC 000029,2025-10-31,Bug,Medium,11.44,45.74,4.8,Email
TKT-000104,ACC-000029,2025-12-14,Integration,Medium,4.54,31.49,4.8,Chat
TKT-000105, ACC-000029 ,2025-10-24,Onboarding,Medium,10.28,45.59,3.5,Chat
TKT-000106,ACC-000030,2025-12-06,Billing,Medium,0.2,17.77,2.6,Email
TKT-000107, ACC-000030 ,2026-09-03,Onboarding,Medium,10.26,43.97,4.0,Email
TKT-000108,ACC 000030,2026-10-22,Billing,Medium,5.93,21.18,4.6,Email
TKT-000109,acc-000030,2026-04-19,Billing,Low,4.97,29.39,4.5,Email
TKT-000110, ACC-000031 ,2025-10-29,Integration,Medium,5.68,45.83,4.4,Chat
TKT-000111,ACC-000031,2026-04-10,Onboarding,Low,3.43,31.88,2.2,Email
TKT-000112,ACC-000031,2026-02-12,Integration,Medium,6.15,39.26,5,Email
TKT-000113, ACC-000032 ,2026-06-08,Beta feature,Medium,10.13,47.62,3.2,Chat
TKT-000114,ACC 000032,2026-05-16,Onboarding,Urgent,23.12,74.77,1,Email
TKT-000115,ACC-000032,2026-06-27,Integration,Low,14.4,52.08,3.7,Email
TKT-000116, ACC-000032 ,2026-03-26,Performance,High,13.45,44.85,3.2,Help Center
TKT-000117,ACC-000032,2026-03-27,Beta feature,Medium,12.01,71.34,2.5,Email
TKT-000118,ACC-000032,2026-09-05,Onboarding,High,19.45,71.17,2.8,Email
TKT-000119,ACC-000033,2026-08-29,Performance,High,20.37,89.02,1.1,Chat
TKT-000120,ACC 000033,2026-03-03,Performance,High,23.69,53.43,2.9,Chat
TKT-000121,ACC 000033,2025-12-12,Onboarding,Medium,7.41,27.77,3.6,Help Center
TKT-000122,ACC-000034,2026-04-12,Onboarding,High,13.08,66.32,2.9,Chat
TKT-000123,ACC-000034,2026-02-16,Bug,High,20.53,68.81,3.2,Chat
TKT-000124, ACC-000034 ,2025-11-15,Billing,Medium,9.38,47.2,5.0,Chat
TKT-000125,ACC-000034,2026-09-29,Onboarding,Medium,0.2,1.2,3.2,Chat
TKT-000126,acc-000036,2026-05-13,Bug,Medium,19.56,57.14,3.8,Chat
TKT-000127,ACC-000036,2025-12-03,Onboarding,High,22.54,57.37,2.6,Help Center
TKT-000128,ACC-000037,2026-06-07,Billing,Low,13.2,34.03,2.0,Chat
TKT-000129,ACC-000037,2025-08-14,Integration,Low,7.89,51.22,2.6,Email
TKT-000130,ACC-000037,2026-05-15,Performance,High,15.66,65.53,2.8,Phone
TKT-000131,ACC-000038,2025-10-13,Beta feature,Low,18.97,47.25,1.7,Email
TKT-000132,ACC-000038,2025-10-17,Performance,High,32.43,75.11,1,Chat
TKT-000133,ACC 000038,2026-04-08,Onboarding,Urgent,23.89,67.3,1.5,Help Center
TKT-000134, ACC-000038 ,2026-01-29,Onboarding,Medium,32.43,73.22,3.3,Email
TKT-000135,ACC 000038,2026-02-06,Beta feature,High,28.31,82.71,1.3,Chat
TKT-000136,ACC-000039,2026-10-24,Onboarding,Medium,13.01,63.67,4.5,Chat
TKT-000137,ACC-000039,2026-07-12,Performance,Low,16.83,50.97,3.4,Help Center
TKT-000138,ACC 000039,2026-09-30,Performance,High,18.1,76.14,2.1,Email
TKT-000139,ACC 000040,2026-03-31,Bug,Medium,17.33,50.06,3.2,Chat
TKT-000140,acc-000040,2026-05-31,Bug,Urgent,22.95,63.61,2.3,Email
TKT-000141,ACC-000040,2026-09-03,Billing,High,25.12,64.75,3.0,Email
TKT-000142,ACC-000041,2026-07-03,Performance,High,28.54,78.31,2.5,Email
TKT-000143,ACC-000041,2025-12-26,Onboarding,Urgent,19.68,55.74,3.5,Email
TKT-000144, ACC-000041 ,2026-05-31,Onboarding,Medium,13.34,51.48,2.3,Email
TKT-000145,acc-000042,2026-02-05,Integration,Urgent,15.58,20.36,4.0,Help Center
TKT-000146,ACC-000042,2025-12-29,Integration,Medium,13.13,50.11,3.3,Chat
TKT-000147,acc-000042,2026-01-17,Bug,Medium,4.55,10.02,4.3,Chat
TKT-000148,acc-000042,2025-10-27,Integration,Medium,7.52,37.48,2.3,Email
TKT-000149,ACC-000042,2025-06-04,Bug,High,18.45,51.5,3.6,Chat
TKT-000150,ACC-000043,2025-12-29,Integration,Medium,10.46,32.34,2.7,Email
TKT-000151,ACC-000043,2025-09-21,Onboarding,Medium,14.81,38.12,3.5,Chat
TKT-000152, ACC-000043 ,2025-07-10,Onboarding,High,15.88,40.07,3.2,Chat
TKT-000153,acc-000044,2025-12-12,Beta feature,Medium,14.9,38.48,2.7,Email
TKT-000154,ACC 000044,2025-05-10,Integration,Medium,7.57,34.6,4.5,Email
TKT-000155, ACC-000044 ,2025-11-14,Beta feature,Urgent,21.38,45.65,2.9,Email
TKT-000156,ACC-000044,2025-04-20,Performance,Medium,2.83,16.9,3.5,Email
TKT-000157, ACC-000044 ,2026-03-16,Beta feature,Medium,20.38,78.78,3.7,Email
TKT-000158,acc-000044,2025-11-28,Integration,High,25.52,71.17,2.9,Chat
TKT-000159, ACC-000045 ,2026-05-14,Performance,Medium,0.2,22.14,4.5,Chat
TKT-000160,acc-000045,2026-05-09,Onboarding,High,23.87,54.45,2.8,Email
TKT-000161,ACC-000045,2026-03-03,Bug,Low,5.85,20.61,5,Email
TKT-000162,ACC-000045,2026-01-25,Beta feature,Medium,24.07,62.07,4.0,Phone
TKT-000163,ACC 000045,2026-07-10,Integration,Medium,12.29,23.78,4.4,Email
TKT-000164,ACC-000045,2025-12-10,Beta feature,Medium,8.28,38.39,4.3,Phone
TKT-000165,acc-000045,2025-12-28,Billing,High,24.2,83.01,3.0,Chat
TKT-000166,ACC 000046,2026-08-03,Bug,High,12.0,50.24,3.9,Help Center
TKT-000167,acc-000046,2025-12-30,Bug,Low,11.98,12.98,3.4,Email
TKT-000168,acc-000047,2026-10-01,Integration,Medium,3.74,24.82,3.5,Chat
TKT-000169,ACC-000047,2026-09-30,Bug,Medium,0.2,27.42,2.9,Email
TKT-000170,ACC-000047,2026-06-04,Billing,Medium,8.27,54.0,4.4,Email
TKT-000171,ACC-000047,2026-07-13,Performance,High,28.72,64.65,2.9,Chat
TKT-000172,ACC-000047,2026-08-20,Performance,Medium,6.24,33.03,3.6,Chat
TKT-000173, ACC-000047 ,2026-07-06,Integration,Low,8.71,11.52,3.0,Email
TKT-000174,ACC 000048,2026-08-07,Billing,Medium,4.43,17.43,2.4,Chat
TKT-000175, ACC-000048 ,2026-03-01,Beta feature,Medium,7.56,24.73,3.7,Chat
TKT-000176,ACC-000049,2025-10-27,Integration,Medium,14.95,15.95,4.0,Help Center
TKT-000177,ACC-000049,2025-10-05,Bug,Medium,21.9,51.62,3.2,Email
TKT-000178,acc-000049,2025-05-23,Onboarding,Medium,14.68,46.37,2.6,Chat
TKT-000179,ACC-000051,2025-09-17,Onboarding,Medium,10.13,42.05,5,Chat
TKT-000180,ACC-000051,2025-03-05,Bug,Low,9.19,14.56,3.0,Chat
TKT-000181,ACC 000052,2025-12-08,Integration,High,15.32,34.12,2.9,Chat
TKT-000182,ACC-000052,2026-03-01,Onboarding,Medium,9.33,24.93,4.5,Email
TKT-000183,acc-000054,2025-09-03,Billing,Medium,5.39,7.79,5,Phone
TKT-000184,ACC-000054,2025-08-06,Performance,Medium,3.41,26.31,3.5,Email
TKT-000185,ACC-000054,2026-04-04,Beta feature,Medium,10.12,42.35,5.0,Email
TKT-000186,ACC 000054,2026-07-07,Performance,Low,6.96,60.85,2.6,Chat
TKT-000187,ACC 000054,2025-09-05,Performance,Medium,9.62,26.16,4.3,Email
TKT-000188,ACC-000055,2026-05-06,Integration,High,18.02,54.53,4.0,Chat
TKT-000189,ACC-000055,2026-09-28,Performance,Medium,8.44,64.43,2.9,Email
TKT-000190,ACC-000055,2026-11-10,Beta feature,Medium,12.47,65.12,3.0,Chat
TKT-000191,acc-000055,2026-10-19,Onboarding,High,16.43,62.81,3.0,Chat
TKT-000192, ACC-000055 ,2026-02-27,Performance,Medium,6.0,17.01,5,Email
TKT-000193,ACC-000056,2026-03-05,Beta feature,Low,9.87,40.21,4.8,Help Center
TKT-000194,ACC-000056,2025-12-09,Billing,Medium,5.81,34.21,3.8,Phone
TKT-000195,acc-000056,2025-09-15,Billing,Medium,6.22,21.38,4.6,Email
TKT-000196,ACC-000056,2025-08-24,Integration,High,8.61,35.48,2.5,Phone
TKT-000197,ACC 000057,2026-02-07,Beta feature,Low,16.44,28.73,3.4,Email
TKT-000198,ACC-000058,2025-11-21,Beta feature,Low,22.64,63.83,2.1,Chat
TKT-000199, ACC-000058 ,2026-04-05,Bug,High,31.95,92.66,4.7,Help Center
TKT-000200,ACC-000058,2026-03-08,Bug,High,29.81,74.49,1.6,Email
TKT-000201,ACC 000058,2026-03-15,Beta feature,Urgent,26.69,79.06,1.8,Email
TKT-000202, ACC-000058 ,2025-11-23,Bug,High,32.15,77.18,2.6,Email
TKT-000203,acc-000058,2026-01-21,Onboarding,Medium,15.87,55.87,3.2,Email
TKT-000204,ACC-000058,2025-12-02,Performance,Medium,18.09,42.16,2.6,Email
TKT-000205,ACC-000058,2026-07-20,Integration,Urgent,19.32,63.42,2.4,Email
TKT-000206, ACC-000059 ,2025-09-30,Billing,High,12.38,78.13,4.4,Email
TKT-000207,ACC-000059,2026-01-13,Performance,Low,6.41,28.44,3.2,Help Center
TKT-000208,ACC-000060,2025-05-06,Billing,Low,3.06,57.7,3.0,Chat
TKT-000209,acc-000060,2026-04-03,Onboarding,High,8.25,29.04,1.8,Phone
TKT-000210, ACC-000060 ,2025-11-18,Performance,Low,1.21,22.09,3.3,Email
TKT-000211,ACC-000060,2025-10-20,Beta feature,High,11.86,41.1,3.1,Phone
TKT-000212,ACC-000060,2025-06-01,Onboarding,High,15.29,42.69,4.2,Email
TKT-000213,ACC-000060,2025-07-19,Bug,Medium,0.85,4.99,4.4,Phone
TKT-000214,ACC-000060,2026-01-01,Onboarding,Low,7.21,42.96,3.7,Email
TKT-000215,ACC-000062,2025-07-07,Performance,Urgent,10.44,26.09,4.2,Chat
TKT-000216, ACC-000063 ,2026-01-11,Billing,Medium,9.88,48.53,4.7,Chat
TKT-000217,ACC 000063,2025-12-22,Performance,Medium,7.3,18.7,3.8,Email
TKT-000218,ACC-000063,2026-09-16,Integration,Medium,9.21,48.18,5,Chat
TKT-000219,ACC-000063,2026-01-08,Beta feature,Low,10.19,21.46,4.8,Email
TKT-000220,acc-000063,2026-08-29,Billing,Low,6.17,35.16,4.6,Help Center
TKT-000221,ACC-000064,2025-10-05,Bug,Medium,11.47,48.19,0,Email
TKT-000222, ACC-000064 ,2025-11-12,Performance,Medium,9.65,40.69,1.7,Chat
TKT-000223,ACC 000064,2025-11-16,Billing,Urgent,21.86,75.66,3.1,Email
TKT-000224,ACC-000064,2026-03-30,Onboarding,High,21.78,61.99,2.3,Email
TKT-000225,ACC-000064,2026-03-27,Performance,High,20.69,56.72,3.5,Phone
TKT-000226,ACC 000065,2025-10-17,Beta feature,Medium,13.37,49.48,4.6,Help Center
TKT-000227,ACC-000065,2025-11-10,Bug,Low,15.13,50.83,3.7,Chat
TKT-000228, ACC-000065 ,2026-03-02,Onboarding,Medium,4.02,14.48,4.6,Email
TKT-000229,ACC-000065,2025-12-17,Billing,Low,11.43,37.57,4.8,Help Center
TKT-000230,ACC 000065,2025-10-10,Beta feature,Medium,3.11,23.39,4.8,Email
TKT-000231,acc-000065,2025-10-24,Integration,High,18.81,67.73,2.5,Phone
TKT-000232,ACC-000066,2025-06-04,Beta feature,Medium,12.31,58.21,3.7,Email
TKT-000233,ACC-000066,2025-10-14,Bug,Medium,28.04,98.31,3.5,Chat
TKT-000234,ACC-000067,2026-09-14,Bug,Low,1.1,10.94,4.6,Chat
TKT-000235, ACC-000067 ,2026-07-03,Bug,Medium,11.07,17.19,5,Phone
TKT-000236,acc-000067,2026-08-01,Beta feature,Medium,7.17,38.93,3.9,Email
TKT-000237,acc-000068,2026-04-16,Bug,Urgent,17.64,53.88,3.0,Email
TKT-000238,acc-000068,2026-07-12,Beta feature,Medium,17.73,42.85,5,Email
TKT-000239,ACC-000069,2025-06-26,Bug,High,5.48,41.67,1.9,Phone
TKT-000240,ACC 000069,2025-11-26,Onboarding,High,31.77,110.3,3.4,Email
TKT-000241, ACC-000069 ,2026-04-17,Billing,Urgent,27.95,65.31,2.6,Email
TKT-000242,ACC-000069,2026-02-18,Integration,High,26.37,64.94,2.7,Email
TKT-000243,ACC-000069,2026-02-22,Integration,Low,12.06,43.31,3.5,Chat
TKT-000244,ACC-000069,2026-03-26,Billing,Urgent,25.42,67.17,3.3,Email
TKT-000245, ACC-000069 ,2025-07-20,Performance,Low,6.97,16.31,3.3,Phone
TKT-000246,ACC 000070,2026-08-17,Beta feature,Medium,0.2,1.2,4.9,Chat
TKT-000247,ACC-000070,2026-07-31,Integration,High,14.37,53.59,3.6,Email
TKT-000248,ACC-000070,2026-11-11,Billing,Medium,3.16,12.36,2.4,Email
TKT-000249,acc-000071,2025-12-23,Billing,Low,21.61,62.18,3.7,Help Center
TKT-000250,ACC-000071,2026-03-11,Billing,Low,10.75,58.36,3.3,Phone
TKT-000251,ACC 000071,2026-09-13,Bug,Medium,13.58,72.42,3.0,Chat
TKT-000252, ACC-000072 ,2025-08-22,Performance,High,20.04,68.46,2.7,Email
TKT-000253,ACC-000072,2026-03-09,Beta feature,Medium,4.13,6.47,4.3,Email
TKT-000254,ACC-000072,2026-05-16,Bug,High,21.61,65.27,3.8,Chat
TKT-000255, ACC-000072 ,2026-05-31,Performance,Medium,8.47,26.43,4.6,Email
TKT-000256,acc-000072,2026-03-02,Onboarding,High,18.28,70.95,3.4,Phone
TKT-000257,ACC-000073,2026-12-17,Performance,High,10.95,21.94,3.5,Email
TKT-000258,acc-000073,2026-06-30,Beta feature,Medium,6.48,23.88,4.7,Email
TKT-000259,ACC 000074,2025-09-08,Onboarding,High,26.47,57.07,2.4,Email
TKT-000260,ACC-000074,2025-02-24,Beta feature,Medium,4.65,24.49,3.8,Email
TKT-000261,acc-000075,2026-01-22,Onboarding,High,11.43,20.39,5,Phone
TKT-000262,ACC-000075,2026-03-21,Integration,Medium,14.24,67.64,2.7,Chat
TKT-000263,ACC-000075,2025-12-02,Integration,Low,7.62,8.62,3.2,Phone
TKT-000264,ACC 000076,2026-01-17,Performance,Medium,3.51,58.3,5,Email
TKT-000265,acc-000076,2026-03-23,Billing,High,20.07,48.2,3.7,Chat
TKT-000266,ACC-000076,2026-06-14,Onboarding,Low,5.29,29.89,4.4,Email
TKT-000267,acc-000076,2025-12-28,Onboarding,Medium,0.2,17.32,3.3,Email
TKT-000268,acc-000076,2026-02-10,Billing,Urgent,16.89,82.48,3.4,Chat
TKT-000269,ACC-000077,2025-12-21,Onboarding,Medium,3.59,37.58,4.0,Phone
TKT-000270,acc-000077,2026-01-24,Billing,High,20.69,53.39,3.5,Email
TKT-000271, ACC-000077 ,2026-03-09,Billing,High,19.63,60.62,2.6,Email
TKT-000272, ACC-000077 ,2025-09-08,Onboarding,Medium,5.25,16.05,4.4,Chat
TKT-000273,ACC 000078,2026-01-19,Billing,High,13.62,54.1,4.0,Email
TKT-000274,acc-000078,2026-09-16,Performance,High,15.14,41.49,4.0,Help Center
TKT-000275,ACC-000079,2025-10-20,Onboarding,Medium,13.66,28.41,3.3,Email
TKT-000276,acc-000079,2025-07-06,Onboarding,Medium,6.02,30.18,3.6,Phone
TKT-000277,ACC-000079,2026-03-13,Bug,Medium,11.45,43.03,4.2,Chat
TKT-000278,ACC-000081,2026-02-11,Onboarding,Low,12.11,35.06,4.2,Email
TKT-000279,ACC-000081,2026-04-10,Onboarding,High,15.11,62.02,2.1,Chat
TKT-000280,ACC 000081,2025-11-04,Performance,High,10.43,40.19,1,Chat
TKT-000281,ACC 000082,2026-02-18,Performance,Medium,12.23,61.86,3.0,Chat
TKT-000282,ACC-000082,2025-12-04,Billing,Urgent,6.81,29.49,3.9,Email
TKT-000283,ACC-000084,2025-06-26,Bug,High,22.09,70.32,2.7,Email
TKT-000284,ACC-000084,2025-06-29,Onboarding,High,18.14,72.48,2.0,Chat
TKT-000285,ACC-000084,2025-06-15,Onboarding,Medium,15.88,58.8,3.2,Email
TKT-000286,ACC-000084,2025-07-20,Integration,Medium,12.2,61.47,3.5,Chat
TKT-000287,ACC 000084,2025-07-29,Onboarding,High,25.26,78.26,3.6,Email
TKT-000288,ACC-000084,2025-11-07,Onboarding,Medium,10.5,43.27,4.4,Chat
TKT-000289,ACC 000084,2025-09-17,Onboarding,Medium,9.28,41.26,2.0,Phone
TKT-000290,ACC-000085,2026-06-19,Performance,Medium,18.76,44.99,3.3,Email
TKT-000291,ACC 000085,2026-01-23,Onboarding,Medium,21.96,70.49,4.7,Chat
TKT-000292,ACC-000085,2026-08-05,Performance,Urgent,18.35,44.82,3.1,Email
TKT-000293,ACC-000085,2026-01-21,Billing,Urgent,28.13,72.9,2.0,Email
TKT-000294,ACC 000085,2026-10-16,Performance,Urgent,26.21,72.65,-1,Chat
TKT-000295,ACC-000085,2026-11-12,Onboarding,Medium,3.37,41.16,2.7,Help Center
TKT-000296, ACC-000086 ,2025-09-03,Beta feature,Urgent,19.58,49.83,1.7,Email
TKT-000297,ACC 000086,2025-05-08,Bug,Medium,21.5,54.98,4.4,Email
TKT-000298,ACC-000086,2025-04-08,Integration,Urgent,23.46,78.88,4.0,Chat
TKT-000299,ACC 000086,2025-10-23,Performance,Medium,8.85,9.85,3.9,Chat
TKT-000300,ACC 000087,2026-05-09,Billing,Urgent,31.83,92.71,2.7,Help Center
TKT-000301, ACC-000088 ,2025-08-07,Onboarding,High,22.6,41.14,3.3,Email
TKT-000302,ACC-000088,2025-12-21,Bug,Medium,4.37,13.55,2.8,Chat
TKT-000303,ACC-000088,2026-01-21,Beta feature,Low,7.07,55.39,2.7,Chat
TKT-000304,acc-000088,2025-06-29,Integration,Medium,7.59,9.42,4.6,Chat
TKT-000305,ACC-000088,2025-04-18,Billing,Urgent,18.33,51.03,3.1,Phone
TKT-000306,ACC 000088,2026-01-18,Bug,Medium,9.82,30.69,3.4,Chat
TKT-000307,acc-000089,2025-09-07,Performance,Medium,21.49,68.75,2.5,Email
TKT-000308,acc-000089,2025-09-05,Billing,Medium,22.12,71.03,3.8,Chat
TKT-000309,acc-000089,2025-11-08,Integration,Medium,22.21,77.51,2.7,Email
TKT-000310, ACC-000089 ,2026-03-17,Beta feature,High,25.76,60.32,1.6,Chat
