account_id,account_name,industry,employee_band,plan,sales_rep,acquisition_channel,close_date,contract_start_date,gross_contract_value_eur,contract_value_eur,discount_pct,discount_anomaly_flag,closed_mrr_eur,sales_fit_score,low_fit_flag,beta_feature_promised,beta_feature_category,product_record_present,onboarding_completed,activation_days,feature_adoption_rate,weekly_active_users,pages_published,ecommerce_enabled,support_ticket_count_90d,support_ticket_count_180d,avg_first_response_hours,avg_support_csat,latest_health_score,avg_nps_6m,avg_csat_6m,churned_90d,churned_180d,churned_12m,churn_reason,revenue_quality_risk_index,revenue_quality_segment
ACC-000017,PossiblePage Account 0017,Financial Services,51-200,Scale,Sales Rep #5,Webinar,2025-04-11,2025-04-30,26082.17,21286.78,0.1839,False,1773.9,38.7,True,False,,False,False,,0.0,0,0,False,0,0,21.83,2.35,28.5,-26.7,2.4,False,False,False,,42.2,Watchlist
ACC-000018,PossiblePage Account 0018,Software,51-200,Growth,Sales Rep #4,Webinar,2025-05-22,2025-06-07,20144.09,19585.74,0.0277,False,1632.15,78.6,False,False,,True,True,19.0,0.9184,22,15,True,0,0,,,80.8,41.5,4.1,False,False,False,,11.3,Healthy
ACC-000019,PossiblePage Account 0019,Professional Services,51-200,Enterprise,Sales Rep #6,Outbound,2025-01-10,2025-01-15,85448.97,62251.41,0.2715,False,5187.62,49.1,True,False,,True,True,10.0,0.359,10,6,False,3,3,17.06,3.1,50.2,1.8,3.2,False,False,False,,36.9,Watchlist
ACC-000020,PossiblePage Account 0020,Professional Services,11-50,Growth,Sales Rep #2,Inbound Demo,2025-02-05,2025-02-27,23256.84,20578.41,0.1152,False,1714.87,62.8,False,False,,True,True,10.0,0.783,17,9,False,1,4,14.01,3.8,78.4,44.5,4.2,False,False,False,,18.0,Healthy
ACC-000021,PossiblePage Account 0021,Manufacturing,51-200,Scale,Sales Rep #7,Paid Search,2025-06-06,2025-06-12,64467.68,57786.98,0.1036,False,4815.58,67.2,False,False,,True,True,15.0,0.6763,26,15,False,0,1,9.73,4.47,4.2,-25.0,2.4,False,False,True,Switched vendor,24.9,Healthy
ACC-000022,PossiblePage Account 0022,Retail,1-10,Scale,Sales Rep #10,Paid Search,2025-08-17,2025-09-16,48120.91,42930.31,0.1079,False,3577.53,73.9,False,False,,True,True,7.0,0.6299,24,16,True,1,1,5.07,4.7,86.3,48.5,4.3,False,False,False,,16.1,Healthy
ACC-000023,PossiblePage Account 0023,Hospitality,11-50,Scale,Sales Rep #3,Inbound Demo,2025-06-12,2025-06-15,62198.93,57528.73,0.0751,False,4794.06,94.2,False,False,,True,True,7.0,0.8779,24,18,False,0,2,11.89,4.03,100.0,71.5,4.8,False,False,False,,5.9,Healthy
ACC-000024,PossiblePage Account 0024,Retail,11-50,Scale,Sales Rep #3,Paid Search,2025-04-02,2025-04-10,61639.08,55016.16,0.1074,False,4584.68,66.9,False,False,,True,True,9.0,0.9654,36,24,False,0,0,6.56,3.4,84.0,46.5,4.2,False,False,False,,10.4,Healthy
ACC-000025,PossiblePage Account 0025,Hospitality,11-50,Scale,Sales Rep #1,Inbound Demo,2025-06-17,2025-07-03,35244.89,32220.1,0.0858,False,2685.01,78.9,False,False,,True,True,18.0,0.8042,39,15,True,0,0,12.57,3.63,88.3,40.5,4.3,False,False,False,,11.5,Healthy
ACC-000026,PossiblePage Account 0026,Software,201-1000,Scale,Sales Rep #7,Webinar,2025-09-28,2025-10-17,66808.27,60678.65,0.0917,False,5056.55,70.5,False,False,,True,True,14.0,0.2514,14,0,False,0,0,7.49,5.0,14.6,-81.0,1.3,False,True,True,Switched vendor,44.7,Watchlist
ACC-000027,PossiblePage Account 0027,Software,1-10,Starter,Sales Rep #6,Outbound,2025-08-01,2025-08-25,7138.0,5932.08,0.1689,False,494.34,66.3,False,True,CRM sync,False,False,,0.0,0,0,False,2,3,8.98,3.56,16.8,-43.2,2.2,False,False,False,,51.9,Watchlist
ACC-000028,PossiblePage Account 0028,Retail,201-1000,Scale,Sales Rep #8,Outbound,2025-10-23,2025-11-22,69616.68,64187.57,0.078,False,5348.96,85.8,False,False,,True,True,13.0,1.0,30,23,False,0,0,,,88.9,62.7,4.6,False,False,False,,7.3,Healthy
ACC-000029,PossiblePage Account 0029,Software,11-50,Starter,Sales Rep #6,Paid Search,2025-08-17,2025-08-21,8387.0,7813.32,0.0684,False,651.11,96.7,False,False,,True,True,15.0,0.8816,25,14,False,2,3,8.75,4.37,96.2,70.5,4.9,False,False,False,,9.0,Healthy
ACC-000030,PossiblePage Account 0030,Professional Services,11-50,Growth,Sales Rep #5,Inbound Demo,2025-10-30,2025-11-12,19398.58,18140.19,0.0649,False,1511.68,84.7,False,False,,True,True,6.0,0.8998,23,15,True,1,2,5.34,3.92,79.3,46.3,4.1,False,False,False,,10.2,Healthy
ACC-000031,PossiblePage Account 0031,Financial Services,1-10,Scale,Sales Rep #8,Paid Search,2025-08-13,2025-08-13,35076.27,28888.33,0.1764,False,2407.36,70.8,False,False,,True,True,1.0,0.7453,32,16,True,1,1,5.09,3.87,79.7,25.8,3.7,False,False,False,,16.4,Healthy
ACC-000032,PossiblePage Account 0032,Software,1-10,Growth,Sales Rep #4,Partner,2025-09-04,2025-09-15,16921.91,15549.01,0.0811,False,1295.75,38.8,True,False,,False,False,,0.0,0,0,False,0,0,15.43,2.73,27.6,-42.3,2.1,False,False,False,,41.8,Watchlist
ACC-000033,PossiblePage Account 0033,Software,51-200,Starter,Sales Rep #5,Outbound,2025-09-01,2025-09-13,7689.62,5946.22,0.2267,False,495.52,41.1,True,False,,True,True,24.0,0.6536,24,15,False,1,2,17.16,2.53,52.3,10.3,3.0,False,False,False,,29.6,Healthy
ACC-000034,PossiblePage Account 0034,Manufacturing,51-200,Growth,Sales Rep #5,Webinar,2025-11-09,2025-11-13,16915.61,15577.94,0.0791,False,1298.16,88.3,False,False,,True,True,9.0,0.9304,28,24,True,1,3,10.8,3.58,6.3,16.0,3.2,False,False,True,Budget cut,16.9,Healthy
ACC-000035,PossiblePage Account 0035,Retail,1000+,Starter,Sales Rep #7,Outbound,2025-05-24,2025-06-07,2411.72,2279.0,0.055,False,189.92,68.1,False,False,,True,True,29.0,0.6385,25,9,False,0,0,,,87.0,60.8,4.5,False,False,False,,16.9,Healthy
ACC-000036,PossiblePage Account 0036,Healthcare,51-200,Scale,Sales Rep #7,Referral,2025-06-22,2025-07-01,46947.89,38696.83,0.1757,False,3224.74,61.9,False,True,Beta checkout,True,True,24.0,0.512,19,14,False,0,1,21.05,3.2,44.7,-1.2,3.1,False,False,False,,38.5,Watchlist
ACC-000037,PossiblePage Account 0037,Professional Services,1-10,Scale,Sales Rep #6,Outbound,2025-06-08,2025-06-26,49518.14,42277.09,0.1462,False,3523.09,57.9,False,True,CRM sync,True,True,18.0,0.1642,17,4,False,1,1,12.25,2.47,12.3,-64.7,1.5,True,True,True,Beta feature gap,63.4,Risky
ACC-000038,PossiblePage Account 0038,Manufacturing,201-1000,Scale,Sales Rep #5,Webinar,2025-08-11,2025-09-05,44375.46,36241.01,0.1833,False,3020.08,40.2,True,True,Beta checkout,True,True,23.0,0.1174,10,3,True,2,4,27.21,1.76,27.6,-14.7,2.4,False,False,False,,57.6,Risky
ACC-000039,PossiblePage Account 0039,Professional Services,51-200,Starter,Sales Rep #10,Paid Search,2025-10-26,2025-11-11,8342.48,6879.97,0.1753,False,573.33,29.1,True,False,,True,True,26.0,0.3129,1,5,False,0,0,15.98,3.33,26.8,-19.7,2.4,False,False,False,,38.1,Watchlist
ACC-000040,PossiblePage Account 0040,Nonprofit,11-50,Growth,Sales Rep #9,Webinar,2025-10-10,2025-11-09,14378.53,12945.31,0.0997,False,1078.78,39.4,True,False,,True,True,30.0,0.0647,13,7,True,0,1,21.8,2.83,5.4,-74.7,1.3,False,True,True,Low product fit,57.2,Risky
ACC-000041,PossiblePage Account 0041,Financial Services,201-1000,Growth,Sales Rep #3,Partner,2025-07-27,2025-08-16,21795.49,18483.02,0.152,False,1540.25,37.5,True,False,,True,True,27.0,0.4286,9,15,True,0,1,20.52,2.77,9.1,-44.3,1.8,False,False,True,Low product fit,38.1,Watchlist
ACC-000042,PossiblePage Account 0042,Financial Services,51-200,Scale,Sales Rep #2,Outbound,2025-04-03,2025-04-04,32722.25,29342.43,0.1033,False,2445.2,77.5,False,False,,True,True,1.0,0.7431,17,19,False,1,1,11.85,3.5,76.7,30.0,4.2,False,False,False,,15.4,Healthy
ACC-000043,PossiblePage Account 0043,Healthcare,201-1000,Growth,Sales Rep #1,Inbound Demo,2025-01-29,2025-02-15,24650.86,21475.04,0.1288,False,1789.59,41.3,True,False,,True,True,25.0,0.5965,23,18,True,0,1,13.72,3.13,45.8,-3.3,2.9,False,False,False,,28.3,Healthy
ACC-000044,PossiblePage Account 0044,Professional Services,11-50,Starter,Sales Rep #5,Webinar,2025-04-04,2025-04-15,5252.3,4473.41,0.1483,False,372.78,72.3,False,True,Dynamic forms,False,False,,0.0,0,0,False,2,2,15.43,3.37,30.5,-41.3,2.0,False,False,False,Too many support issues,51.6,Watchlist
ACC-000045,PossiblePage Account 0045,Financial Services,11-50,Starter,Sales Rep #10,Inbound Demo,2025-07-27,2025-08-22,8877.87,7681.91,0.1347,False,640.16,96.1,False,False,,True,True,14.0,1.0,26,20,False,0,3,14.11,4.0,90.6,54.5,4.5,False,False,False,,4.8,Healthy
ACC-000046,PossiblePage Account 0046,Professional Services,11-50,Growth,Sales Rep #3,Inbound Demo,2025-07-20,2025-08-15,15350.55,14025.1,0.0863,False,1168.76,60.5,False,False,,True,True,12.0,0.8758,26,13,False,0,1,11.99,3.65,83.5,54.2,4.2,False,False,False,,14.2,Healthy
ACC-000047,PossiblePage Account 0047,Manufacturing,51-200,Growth,Sales Rep #2,Paid Search,2025-09-24,2025-10-06,23899.32,20907.76,0.1252,False,1742.31,86.8,False,False,,True,True,9.0,0.7997,23,17,False,0,0,9.31,3.38,94.7,65.2,4.8,False,False,False,,8.2,Healthy
ACC-000048,PossiblePage Account 0048,Real Estate,1-10,Growth,Sales Rep #5,Webinar,2025-11-09,2025-12-08,24180.01,22830.81,0.0558,False,1902.57,61.8,False,False,,True,True,10.0,0.8199,18,13,False,1,1,5.99,3.05,62.4,15.3,3.9,False,False,False,,17.8,Healthy
ACC-000049,PossiblePage Account 0049,Hospitality,11-50,Growth,Sales Rep #6,Inbound Demo,2025-02-20,2025-03-09,19456.92,18427.92,0.0529,False,1535.66,65.1,False,True,CRM sync,True,True,11.0,0.3131,12,6,False,1,1,17.18,3.27,44.2,5.5,3.1,False,False,False,,42.5,Watchlist
ACC-000050,PossiblePage Account 0050,Software,11-50,Scale,Sales Rep #2,Inbound Demo,2025-01-05,2025-01-29,43981.03,42506.97,0.0335,False,3542.25,94.4,False,False,,True,True,11.0,0.8187,25,15,False,0,0,,,76.4,33.2,4.0,False,False,False,,10.2,Healthy
ACC-000051,PossiblePage Account 0051,Financial Services,11-50,Starter,Sales Rep #8,Paid Search,2025-01-09,2025-01-26,8188.48,7107.53,0.132,False,592.29,62.3,False,False,,True,True,9.0,0.614,17,12,False,1,1,9.66,4.0,60.1,4.7,3.4,False,False,False,,23.1,Healthy
ACC-000052,PossiblePage Account 0052,Real Estate,1000+,Starter,Sales Rep #5,Partner,2025-06-03,2025-06-10,7056.25,7056.25,0.0,False,588.02,66.7,False,False,,True,True,21.0,0.7158,10,26,False,0,0,12.32,3.7,69.2,28.7,3.5,False,False,False,,18.0,Healthy
ACC-000053,PossiblePage Account 0053,Professional Services,1-10,Scale,Sales Rep #2,Partner,2025-02-24,2025-03-11,34535.71,32962.1,0.0456,False,2746.84,95.1,False,False,,True,True,16.0,0.9565,39,17,True,0,0,,,97.4,66.0,4.5,False,False,False,,6.4,Healthy
ACC-000054,PossiblePage Account 0054,Financial Services,11-50,Starter,Sales Rep #6,Paid Search,2025-07-15,2025-07-29,3280.2,2991.78,0.0879,False,249.32,97.6,False,False,,True,False,29.0,0.8235,29,20,False,3,3,7.1,4.08,92.6,69.2,4.3,False,False,False,,13.2,Healthy
ACC-000055,PossiblePage Account 0055,Software,11-50,Growth,Sales Rep #4,Inbound Demo,2025-12-04,2026-01-02,17696.9,16215.44,0.0837,False,1351.29,68.0,False,False,,True,True,21.0,0.7839,25,7,True,1,2,12.27,3.58,74.7,32.6,4.2,False,False,False,,16.8,Healthy
ACC-000056,PossiblePage Account 0056,Software,11-50,Starter,Sales Rep #2,Inbound Demo,2025-03-04,2025-03-22,4816.18,4432.08,0.0798,False,369.34,62.9,False,False,,True,True,12.0,0.7074,28,23,False,0,2,7.63,3.92,70.1,31.0,3.5,False,False,False,,18.0,Healthy
ACC-000057,PossiblePage Account 0057,Software,11-50,Starter,Sales Rep #8,Inbound Demo,2025-05-20,2025-05-27,5759.61,4983.37,0.1348,False,415.28,61.7,False,True,Dynamic forms,True,True,20.0,0.4492,8,15,False,0,0,16.44,3.4,50.0,8.3,3.0,False,False,False,,38.5,Watchlist
ACC-000058,PossiblePage Account 0058,Manufacturing,1000+,Growth,Sales Rep #6,Referral,2025-06-26,2025-07-26,20903.07,17782.53,0.1493,False,1481.88,41.2,True,True,CRM sync,True,False,44.0,0.0,0,0,True,0,4,24.57,2.62,11.9,-71.2,1.4,True,True,True,Low product fit,69.8,Risky
ACC-000059,PossiblePage Account 0059,Manufacturing,51-200,Growth,Sales Rep #3,Inbound Demo,2025-02-05,2025-02-25,18905.22,16614.7,0.1212,False,1384.56,66.7,False,False,,True,True,13.0,0.7285,26,17,True,0,0,9.39,3.8,81.6,34.3,3.9,False,False,False,,15.6,Healthy
ACC-000060,PossiblePage Account 0060,Financial Services,11-50,Scale,Sales Rep #1,Referral,2025-03-29,2025-04-09,29359.89,26951.4,0.082,False,2245.95,81.9,False,False,,True,False,30.0,1.0,36,23,False,2,3,6.82,3.36,81.1,54.5,3.6,False,False,False,,12.9,Healthy
ACC-000061,PossiblePage Account 0061,Professional Services,1-10,Growth,Sales Rep #4,Paid Search,2025-11-03,2025-11-27,22445.79,20122.11,0.1035,False,1676.84,65.9,False,False,,True,True,15.0,0.5739,27,13,False,0,0,,,61.2,23.2,3.5,False,False,False,,22.1,Healthy
ACC-000062,PossiblePage Account 0062,Education,1000+,Growth,Sales Rep #9,Outbound,2025-01-09,2025-02-02,22183.53,20880.13,0.0588,False,1740.01,62.7,False,False,,True,True,17.0,0.6204,15,9,False,0,1,10.44,4.2,76.9,17.0,3.8,False,False,False,,18.8,Healthy
ACC-000063,PossiblePage Account 0063,Professional Services,51-200,Growth,Sales Rep #9,Referral,2025-10-13,2025-10-22,14274.9,12771.85,0.1053,False,1064.32,59.9,False,False,,False,False,,0.0,0,0,False,3,3,8.55,4.58,71.5,35.2,3.9,False,False,False,,35.7,Watchlist
ACC-000064,PossiblePage Account 0064,Professional Services,11-50,Starter,Sales Rep #4,Inbound Demo,2025-04-25,2025-05-09,5516.45,5091.83,0.077,False,424.32,33.3,True,False,,False,False,,0.0,0,0,False,0,1,17.09,2.65,17.5,-39.5,1.7,False,False,False,,44.8,Watchlist
ACC-000065,PossiblePage Account 0065,Financial Services,11-50,Scale,Sales Rep #10,Partner,2025-04-19,2025-04-27,38689.88,35687.1,0.0776,False,2973.92,66.8,False,False,,True,True,9.0,0.9334,33,24,True,0,3,10.98,4.17,54.8,26.0,3.2,False,False,False,,15.9,Healthy
ACC-000066,PossiblePage Account 0066,Education,11-50,Starter,Sales Rep #1,Outbound,2025-02-17,2025-02-26,7593.9,6615.56,0.1288,False,551.3,55.1,False,True,Beta checkout,True,True,19.0,0.3055,13,14,False,0,1,20.18,3.6,48.5,-12.8,3.0,False,False,False,,43.0,Watchlist
ACC-000067,PossiblePage Account 0067,Manufacturing,11-50,Growth,Sales Rep #1,Inbound Demo,2025-12-31,2026-01-24,25516.8,24734.31,0.0307,False,2061.19,82.1,False,False,,True,True,9.0,0.6552,23,11,False,0,1,6.45,4.5,81.4,62.0,4.6,False,False,False,,11.4,Healthy
ACC-000068,PossiblePage Account 0068,Professional Services,11-50,Starter,Sales Rep #2,Paid Search,2025-07-11,2025-07-19,3069.51,2730.85,0.1103,False,227.57,82.7,False,True,Dynamic forms,True,True,22.0,0.9584,34,20,False,0,0,17.69,4.0,55.6,2.2,3.3,False,False,False,,25.3,Healthy
ACC-000069,PossiblePage Account 0069,Retail,201-1000,Growth,Sales Rep #9,Inbound Demo,2025-05-09,2025-06-07,17063.5,14703.47,0.1383,False,1225.29,32.6,True,False,,True,True,20.0,0.1277,2,7,False,2,3,19.43,2.96,43.2,-4.7,2.9,False,False,False,,43.3,Watchlist
ACC-000070,PossiblePage Account 0070,Hospitality,51-200,Scale,Sales Rep #6,Partner,2025-12-27,2026-01-15,48630.33,45656.51,0.0612,False,3804.71,72.5,False,False,,True,True,14.0,0.826,32,15,False,0,0,5.91,3.63,66.3,25.8,4.0,False,False,False,,12.8,Healthy
ACC-000071,PossiblePage Account 0071,Financial Services,11-50,Scale,Sales Rep #10,Outbound,2025-09-15,2025-10-08,40537.43,36526.49,0.0989,False,3043.87,61.6,False,True,CRM sync,True,True,23.0,0.5526,26,7,False,1,2,15.31,3.33,49.7,-2.7,2.8,False,False,False,,39.5,Watchlist
ACC-000072,PossiblePage Account 0072,Education,51-200,Growth,Sales Rep #7,Outbound,2025-07-06,2025-07-09,11996.79,10962.01,0.0863,False,913.5,75.3,False,True,Beta checkout,True,True,22.0,0.6081,16,6,True,1,1,14.51,3.76,49.6,16.3,3.9,False,False,False,,32.9,Healthy
ACC-000073,PossiblePage Account 0073,Education,11-50,Starter,Sales Rep #5,Inbound Demo,2025-12-02,2025-12-23,2422.68,2406.51,0.0067,False,200.54,76.9,False,False,,True,True,9.0,0.8363,22,21,False,0,0,8.71,4.1,89.1,40.8,3.7,False,False,False,,12.2,Healthy
ACC-000074,PossiblePage Account 0074,Hospitality,11-50,Starter,Sales Rep #6,Referral,2025-01-09,2025-01-25,8038.4,7324.75,0.0888,False,610.4,74.4,False,True,CRM sync,True,True,23.0,0.3468,6,8,False,1,1,15.56,3.1,2.0,-70.8,1.7,False,True,True,Beta feature gap,58.0,Risky
ACC-000075,PossiblePage Account 0075,Software,1-10,Growth,Sales Rep #8,Outbound,2025-05-29,2025-06-01,15220.88,13002.88,0.1457,False,1083.57,70.7,False,True,Beta checkout,True,False,22.0,0.4631,12,9,False,0,0,11.1,3.63,47.6,-9.0,2.9,False,False,False,,35.9,Watchlist
ACC-000076,PossiblePage Account 0076,Financial Services,1-10,Starter,Sales Rep #7,Inbound Demo,2025-09-26,2025-09-18,8123.05,7303.48,0.1009,True,608.62,60.5,False,False,,True,True,12.0,0.6087,6,16,False,0,3,9.19,3.96,72.0,20.7,3.7,False,False,False,,19.7,Healthy
ACC-000077,PossiblePage Account 0077,Professional Services,51-200,Starter,Sales Rep #10,Webinar,2025-02-17,2025-03-17,8376.41,7909.66,0.0557,False,659.14,81.0,False,False,,True,True,10.0,1.0,17,22,False,0,1,12.29,3.62,82.7,60.8,4.2,False,False,False,,8.2,Healthy
ACC-000078,PossiblePage Account 0078,Retail,1-10,Scale,Sales Rep #3,Webinar,2025-10-20,2025-10-21,33332.98,27191.45,0.1842,False,2265.95,73.8,False,False,,True,True,18.0,1.0,47,12,True,1,1,14.38,4.0,83.2,54.2,4.3,False,False,False,,12.0,Healthy
ACC-000079,PossiblePage Account 0079,Software,51-200,Starter,Sales Rep #1,Paid Search,2025-06-20,2025-06-24,6778.8,6750.21,0.0042,False,562.52,90.2,False,False,,True,True,4.0,0.8651,19,15,False,1,2,10.38,3.7,93.4,63.0,4.5,False,False,False,,9.6,Healthy
ACC-000080,PossiblePage Account 0080,Real Estate,51-200,Growth,Sales Rep #2,Referral,2025-08-18,2025-08-20,17169.24,14984.02,0.1273,False,1248.67,66.4,False,False,,True,True,3.0,0.6811,17,4,False,0,0,,,76.6,41.3,4.2,False,False,False,,17.5,Healthy
ACC-000081,PossiblePage Account 0081,Hospitality,1-10,Growth,Sales Rep #5,Webinar,2025-05-04,2025-05-21,22509.5,19038.51,0.1542,False,1586.54,41.9,True,False,,True,False,26.0,0.2995,12,3,False,0,1,12.55,2.43,49.5,-11.5,2.5,False,False,False,,33.4,Healthy
ACC-000082,PossiblePage Account 0082,Software,51-200,Starter,Sales Rep #5,Partner,2025-05-08,2025-05-29,4548.38,4378.57,0.0373,False,364.88,67.2,False,False,,True,True,12.0,0.7226,22,16,False,0,0,9.52,3.45,73.4,31.0,3.8,False,False,False,,16.3,Healthy
ACC-000083,PossiblePage Account 0083,Education,11-50,Scale,Sales Rep #8,Outbound,2025-03-27,2025-04-08,30848.63,28197.65,0.0859,False,2349.8,77.2,False,False,,True,True,19.0,0.7286,24,9,False,0,0,,,84.8,51.7,4.2,False,False,False,,14.4,Healthy
ACC-000084,PossiblePage Account 0084,Professional Services,11-50,Growth,Sales Rep #4,Inbound Demo,2025-03-09,2025-03-14,23513.9,21353.33,0.0919,False,1779.44,86.4,False,True,AI page builder,True,False,46.0,0.7961,27,11,False,0,5,16.19,3.06,68.9,26.0,3.9,False,False,False,,24.6,Healthy
ACC-000085,PossiblePage Account 0085,Nonprofit,1-10,Enterprise,Sales Rep #10,Partner,2025-11-17,2025-12-04,118801.47,98929.3,0.1673,False,8244.11,50.1,True,False,,True,False,32.0,0.5467,24,7,True,2,2,19.46,3.16,50.6,7.0,3.3,False,False,False,,31.6,Healthy
ACC-000086,PossiblePage Account 0086,Software,11-50,Growth,Sales Rep #1,Paid Search,2025-03-08,2025-03-26,23150.87,19589.39,0.1538,False,1632.45,74.0,False,True,Dynamic forms,False,False,,0.0,0,0,False,2,3,18.35,3.5,8.8,-68.2,1.3,False,True,True,Beta feature gap,67.0,Risky
ACC-000087,PossiblePage Account 0087,Education,1000+,Scale,Sales Rep #2,Outbound,2025-12-20,2025-12-27,49595.4,37486.59,0.2442,False,3123.88,30.7,True,True,Advanced integrations,False,False,,0.0,0,0,False,0,1,31.83,2.7,25.3,-49.3,1.6,False,False,False,,60.0,Risky
ACC-000088,PossiblePage Account 0088,Real Estate,11-50,Starter,Sales Rep #10,Partner,2025-02-03,2025-03-04,8666.58,8666.58,0.0,False,722.22,70.5,False,False,,False,False,,0.0,0,0,False,1,3,11.63,3.32,61.2,18.2,3.4,False,False,False,,31.6,Healthy
